m,k,n,latency_us,mfu
8,4096,14336,109.689,0.027453
16,4096,14336,112.235,0.053661
32,4096,14336,101.25,0.118965
64,4096,14336,103.867,0.231935
128,4096,14336,130.346,0.369638
256,4096,14336,179.183,0.537781
512,4096,14336,273.95,0.703496
1024,4096,14336,543.316,0.709432
2048,4096,14336,1057.16,0.72921
4096,4096,14336,2114.883,0.729016
8192,4096,14336,4229.123,0.729127
16384,4096,14336,8432.365,0.731364
32768,4096,14336,16868.818,0.731187
1,4096,131072,741.986,0.004638
2,4096,131072,743.011,0.009264
4,4096,131072,747.06,0.018427
8,4096,131072,751.435,0.036639
16,4096,131072,760.585,0.072396
32,4096,131072,775.337,0.142038
64,4096,131072,798.75,0.275749
128,4096,131072,826.289,0.533118
256,4096,131072,1164.168,0.75678
512,4096,131072,2289.525,0.769608
1024,4096,131072,4500.926,0.782967
2048,4096,131072,8962.373,0.786416
4096,4096,131072,18216.256,0.773831
8192,4096,131072,36098.543,0.78099
16384,4096,131072,71993.164,0.783202
32768,4096,131072,144507.047,0.78038
1,8192,128,19.845,0.000339
2,8192,128,22.927,0.000586
4,8192,128,22.672,0.001186
8,8192,128,22.687,0.00237
16,8192,128,22.91,0.004694
32,8192,128,21.486,0.010011
64,8192,128,21.42,0.020083
128,8192,128,22.996,0.037414
256,8192,128,22.778,0.075544
512,8192,128,21.101,0.163096
1024,8192,128,25.521,0.269701
2048,8192,128,49.419,0.278555
4096,8192,128,83.12,0.33123
8192,8192,128,143.035,0.384967
16384,8192,128,254.659,0.43245
32768,8192,128,518.394,0.424879
1,8192,256,21.364,0.000629
2,8192,256,23.001,0.001169
4,8192,256,23.878,0.002252
8,8192,256,24.338,0.004419
16,8192,256,23.757,0.009054
32,8192,256,22.735,0.018922
64,8192,256,24.183,0.035577
128,8192,256,21.671,0.079403
256,8192,256,22.361,0.153907
512,8192,256,25.409,0.270882
1024,8192,256,38.281,0.359602
2048,8192,256,54.529,0.504907
4096,8192,256,93.312,0.590105
8192,8192,256,164.624,0.668963
16384,8192,256,318.237,0.692109
32768,8192,256,587.56,0.749727
1,8192,512,21.317,0.001261
2,8192,512,22.198,0.002422
4,8192,512,24.943,0.004312
8,8192,512,24.647,0.008727
16,8192,512,22.915,0.018773
32,8192,512,21.838,0.039399
64,8192,512,23.231,0.074071
128,8192,512,23.14,0.148726
256,8192,512,26.219,0.262515
512,8192,512,38.561,0.356992
1024,8192,512,68.657,0.401003
2048,8192,512,109.771,0.501624
4096,8192,512,162.245,0.678772
8192,8192,512,288.993,0.762145
16384,8192,512,561.231,0.784899
32768,8192,512,1149.845,0.766207
1,8192,1024,19.043,0.002824
2,8192,1024,22.5,0.00478
4,8192,1024,23.293,0.009234
8,8192,1024,22.903,0.018783
16,8192,1024,23.42,0.036736
32,8192,1024,22.008,0.078188
64,8192,1024,24.301,0.141617
128,8192,1024,28.839,0.23867
256,8192,1024,38.161,0.360729
512,8192,1024,59.137,0.46556
1024,8192,1024,104.666,0.526092
2048,8192,1024,167.245,0.65848
4096,8192,1024,296.843,0.741992
8192,8192,1024,629.836,0.699403
16384,8192,1024,1111.705,0.792494
32768,8192,1024,2280.506,0.772652
1,8192,2048,34.919,0.00308
2,8192,2048,30.513,0.007049
4,8192,2048,30.671,0.014026
8,8192,2048,31.615,0.027214
16,8192,2048,34.285,0.05019
32,8192,2048,37.261,0.09236
64,8192,2048,39.318,0.17506
128,8192,2048,47.438,0.290189
256,8192,2048,56.551,0.486854
512,8192,2048,103.416,0.532448
1024,8192,2048,182.432,0.603663
2048,8192,2048,310.438,0.709497
4096,8192,2048,552.171,0.797777
8192,8192,2048,1131.046,0.778942
16384,8192,2048,2257.696,0.780458
32768,8192,2048,4395.797,0.801692
1,8192,4096,62.147,0.003461
2,8192,4096,61.872,0.006953
4,8192,4096,62.278,0.013815
8,8192,4096,62.057,0.027728
16,8192,4096,62.227,0.055305
32,8192,4096,62.846,0.109522
64,8192,4096,71.109,0.193589
128,8192,4096,80.086,0.343777
256,8192,4096,101.096,0.544665
512,8192,4096,159.795,0.68918
1024,8192,4096,304.155,0.724153
2048,8192,4096,578.621,0.761309
4096,8192,4096,1133.81,0.777043
8192,8192,4096,2342.606,0.75217
16384,8192,4096,4440.987,0.793534
32768,8192,4096,8868.853,0.794708
1,8192,8192,111.538,0.003857
2,8192,8192,113.07,0.007609
4,8192,8192,113.175,0.015204
8,8192,8192,112.461,0.030602
16,8192,8192,114.226,0.060257
32,8192,8192,112.725,0.122119
64,8192,8192,114.089,0.241318
128,8192,8192,139.762,0.393981
256,8192,8192,176.674,0.623337
512,8192,8192,327.242,0.673063
1024,8192,8192,568.275,0.775169
2048,8192,8192,1133.801,0.777049
4096,8192,8192,2284.176,0.771411
8192,8192,8192,4428.047,0.795853
16384,8192,8192,9116.206,0.773145
32768,8192,8192,17772.485,0.793153
1,8192,14336,192.246,0.003916
2,8192,14336,189.093,0.007962
4,8192,14336,189.493,0.015891
8,8192,14336,191.823,0.031397
16,8192,14336,195.008,0.061768
32,8192,14336,201.369,0.119633
64,8192,14336,205.025,0.234999
128,8192,14336,236.137,0.408074
256,8192,14336,323.059,0.596556
512,8192,14336,539.997,0.713793
1024,8192,14336,1080.124,0.713707
2048,8192,14336,2081.052,0.740867
4096,8192,14336,3887.001,0.793302
8192,8192,14336,7807.64,0.789884
16384,8192,14336,15710.603,0.785092
32768,8192,14336,31092.458,0.793393
1,8192,131072,1505.804,0.004571
2,8192,131072,1506.851,0.009136
4,8192,131072,1511.947,0.01821
8,8192,131072,1518.164,0.03627
16,8192,131072,1532.774,0.071848
32,8192,131072,1563.374,0.140884
64,8192,131072,1600.902,0.275163
128,8192,131072,1691.055,0.520988
256,8192,131072,2399.837,0.734232
512,8192,131072,4507.74,0.781783
1024,8192,131072,9762.542,0.721959
2048,8192,131072,18055.04,0.780741
4096,8192,131072,36108.989,0.780764
8192,8192,131072,71208.308,0.791835
16384,8192,131072,146201.983,0.771333
32768,8192,131072,296896.44,0.759662
1,14336,128,20.83,0.000565
2,14336,128,23.524,0.001
4,14336,128,22.929,0.002052
8,14336,128,22.594,0.004165
16,14336,128,23.829,0.007898
32,14336,128,21.823,0.017248
64,14336,128,22.094,0.034073
128,14336,128,21.559,0.06984
256,14336,128,23.088,0.130425
512,14336,128,26.562,0.226734
1024,14336,128,43.051,0.279789
2048,14336,128,70.014,0.344081
4096,14336,128,119.634,0.402734
8192,14336,128,226.821,0.424834
16384,14336,128,396.439,0.486135
32768,14336,128,808.716,0.476614
1,14336,256,22.435,0.001049
2,14336,256,22.594,0.002082
4,14336,256,22.913,0.004107
8,14336,256,22.49,0.008368
16,14336,256,23.007,0.016361
32,14336,256,22.278,0.033793
64,14336,256,22.636,0.066517
128,14336,256,22.965,0.131125
256,14336,256,22.734,0.264913
512,14336,256,34.668,0.347444
1024,14336,256,54.476,0.442223
2048,14336,256,89.333,0.539337
4096,14336,256,141.964,0.678775
8192,14336,256,262.651,0.73376
16384,14336,256,531.103,0.725745
32768,14336,256,1017.525,0.757614
1,14336,512,21.27,0.002212
2,14336,512,22.519,0.004179
4,14336,512,23.093,0.00815
8,14336,512,21.385,0.017601
16,14336,512,23.394,0.03218
32,14336,512,22.918,0.065696
64,14336,512,22.133,0.136052
128,14336,512,26.052,0.231172
256,14336,512,38.987,0.308952
512,14336,512,61.608,0.391028
1024,14336,512,99.012,0.486614
2048,14336,512,165.684,0.581597
4096,14336,512,292.111,0.659758
8192,14336,512,556.046,0.693191
16384,14336,512,1002.235,0.769172
32768,14336,512,2061.64,0.747843
1,14336,1024,26.444,0.003559
2,14336,1024,24.819,0.007583
4,14336,1024,24.787,0.015186
8,14336,1024,25.159,0.029923
16,14336,1024,25.537,0.058959
32,14336,1024,25.65,0.117399
64,14336,1024,37.895,0.158928
128,14336,1024,44.304,0.271873
256,14336,1024,55.9,0.430954
512,14336,1024,91.092,0.528924
1024,14336,1024,165.644,0.581737
2048,14336,1024,261.815,0.736105
4096,14336,1024,508.626,0.757817
8192,14336,1024,1068.289,0.721613
16384,14336,1024,2011.479,0.766492
32768,14336,1024,3984.211,0.773946
1,14336,2048,58.281,0.003229
2,14336,2048,54.358,0.006925
4,14336,2048,54.803,0.013737
8,14336,2048,55.515,0.027122
16,14336,2048,57.083,0.052753
32,14336,2048,59.332,0.101506
64,14336,2048,60.137,0.200294
128,14336,2048,70.287,0.342742
256,14336,2048,84.075,0.573065
512,14336,2048,147.22,0.654541
1024,14336,2048,271.294,0.710385
2048,14336,2048,502.606,0.766895
4096,14336,2048,995.986,0.773999
8192,14336,2048,2033.257,0.758282
16384,14336,2048,3948.349,0.780976
32768,14336,2048,7623.352,0.808979
1,14336,4096,96.287,0.003909
2,14336,4096,96.557,0.007797
4,14336,4096,97.152,0.015498
8,14336,4096,97.033,0.031034
16,14336,4096,96.624,0.06233
32,14336,4096,102.653,0.117339
64,14336,4096,104.888,0.229677
128,14336,4096,123.697,0.389507
256,14336,4096,149.517,0.644483
512,14336,4096,277.025,0.695687
1024,14336,4096,515.848,0.747208
2048,14336,4096,997.4,0.772901
4096,14336,4096,2006.307,0.768468
8192,14336,4096,4005.828,0.76977
16384,14336,4096,7977.75,0.773042
32768,14336,4096,16458.799,0.749402
1,14336,8192,181.053,0.004158
2,14336,8192,184.291,0.00817
4,14336,8192,183.255,0.016432
8,14336,8192,184.082,0.032717
16,14336,8192,186.811,0.064478
32,14336,8192,180.237,0.13366
64,14336,8192,196.416,0.2453
128,14336,8192,208.111,0.46303
256,14336,8192,264.404,0.728896
512,14336,8192,510.722,0.754707
1024,14336,8192,1096.034,0.703346
2048,14336,8192,1990.978,0.774385
4096,14336,8192,3976.548,0.775438
8192,14336,8192,7595.382,0.811958
16384,14336,8192,15972.095,0.772238
32768,14336,8192,31475.073,0.783748
1,14336,14336,318.078,0.004142
2,14336,14336,309.591,0.008511
4,14336,14336,310.891,0.016951
8,14336,14336,313.034,0.033669
16,14336,14336,315.005,0.066917
32,14336,14336,324.29,0.130001
64,14336,14336,326.161,0.258511
128,14336,14336,370.02,0.455739
256,14336,14336,507.383,0.664715
512,14336,14336,908.41,0.742539
1024,14336,14336,1837.813,0.734057
2048,14336,14336,3588.738,0.75183
4096,14336,14336,6785.674,0.79524
8192,14336,14336,13609.592,0.793006
16384,14336,14336,27506.647,0.784718
32768,14336,14336,54992.495,0.785015
1,14336,131072,2683.079,0.004489
2,14336,131072,2679.197,0.008992
4,14336,131072,2682.851,0.017959
8,14336,131072,2603.146,0.037017
16,14336,131072,2621.014,0.07353
32,14336,131072,2677.262,0.14397
64,14336,131072,2736.247,0.281733
128,14336,131072,2857.51,0.539555
256,14336,131072,4191.418,0.735686
512,14336,131072,8035.327,0.767502
1024,14336,131072,17467.574,0.706124
2048,14336,131072,32358.285,0.762356
4096,14336,131072,61637.314,0.800441
8192,14336,131072,123811.584,0.79697
16384,14336,131072,248635.65,0.793725
32768,14336,131072,500758.283,0.788198
