m,k,n,latency_us,mfu
2048,256,256,25.08,0.034304
4096,256,256,23.872,0.072082
8192,256,256,19.116,0.180029
16384,256,256,21.833,0.31525
32768,256,256,32.166,0.427961
1,256,512,17.361,4.8e-05
2,256,512,17.618,9.5e-05
4,256,512,17.418,0.000193
8,256,512,18.104,0.000371
16,256,512,18.978,0.000708
32,256,512,24.547,0.001095
64,256,512,24.49,0.002196
128,256,512,24.719,0.004351
256,256,512,26.019,0.008267
512,256,512,20.122,0.021379
1024,256,512,19.025,0.045223
2048,256,512,26.201,0.065674
4096,256,512,22.272,0.15452
8192,256,512,21.457,0.320785
16384,256,512,31.365,0.438891
32768,256,512,56.336,0.488704
1,256,1024,17.259,9.7e-05
2,256,1024,18.198,0.000185
4,256,1024,17.632,0.000381
8,256,1024,19.452,0.000691
16,256,1024,19.263,0.001396
32,256,1024,25.076,0.002144
64,256,1024,24.902,0.004319
128,256,1024,19.236,0.011182
256,256,1024,19.04,0.022594
512,256,1024,18.581,0.046304
1024,256,1024,18.697,0.092032
2048,256,1024,26.383,0.130444
4096,256,1024,24.662,0.279092
8192,256,1024,30.829,0.446529
16384,256,1024,53.987,0.509976
32768,256,1024,99.573,0.552997
1,256,2048,16.948,0.000198
2,256,2048,17.48,0.000385
4,256,2048,19.673,0.000683
8,256,2048,19.728,0.001363
16,256,2048,19.228,0.002797
32,256,2048,22.35,0.004812
64,256,2048,23.901,0.008999
128,256,2048,19.092,0.022532
256,256,2048,19.212,0.044784
512,256,2048,19.164,0.089791
1024,256,2048,23.986,0.143479
2048,256,2048,26.151,0.263205
4096,256,2048,30.876,0.445847
8192,256,2048,53.193,0.517589
16384,256,2048,96.409,0.571149
32768,256,2048,186.766,0.589654
1,256,4096,16.903,0.000398
2,256,4096,19.366,0.000694
4,256,4096,19.789,0.001359
8,256,4096,19.424,0.002768
16,256,4096,18.968,0.00567
32,256,4096,17.401,0.012361
64,256,4096,23.762,0.018104
128,256,4096,19.167,0.044889
256,256,4096,19.454,0.088454
512,256,4096,19.756,0.174203
1024,256,4096,21.823,0.315406
2048,256,4096,30.713,0.448208
4096,256,4096,52.545,0.523966
8192,256,4096,94.112,0.585089
16384,256,4096,180.195,0.611158
32768,256,4096,352.867,0.624186
1,256,8192,19.545,0.000688
2,256,8192,19.734,0.001362
4,256,8192,19.444,0.002766
8,256,8192,19.208,0.005599
16,256,8192,19.256,0.01117
32,256,8192,19.92,0.021596
64,256,8192,19.404,0.044341
128,256,8192,18.464,0.093196
256,256,8192,20.101,0.171212
512,256,8192,21.548,0.31943
1024,256,8192,31.666,0.434723
2048,256,8192,53.707,0.512628
4096,256,8192,95.492,0.57663
8192,256,8192,180.944,0.608625
16384,256,8192,358.626,0.614163
32768,256,8192,748.228,0.588737
1,256,14336,20.038,0.001174
2,256,14336,19.427,0.002422
4,256,14336,19.442,0.00484
8,256,14336,19.994,0.009413
16,256,14336,19.924,0.018892
32,256,14336,18.852,0.039934
64,256,14336,19.222,0.078331
128,256,14336,20.406,0.147565
256,256,14336,22.986,0.26201
512,256,14336,33.24,0.362368
1024,256,14336,56.866,0.423635
2048,256,14336,89.022,0.541221
4096,256,14336,167.335,0.575861
8192,256,14336,334.59,0.575997
16384,256,14336,663.231,0.581164
32768,256,14336,1428.921,0.539492
1,256,131072,57.079,0.003768
2,256,131072,57.587,0.00747
4,256,131072,58.677,0.014663
8,256,131072,67.573,0.025465
16,256,131072,69.639,0.049419
32,256,131072,69.616,0.098871
64,256,131072,74.944,0.183683
128,256,131072,92.602,0.297314
256,256,131072,123.151,0.447123
512,256,131072,208.205,0.528937
1024,256,131072,383.484,0.574352
2048,256,131072,779.444,0.565159
4096,256,131072,1633.685,0.539283
8192,256,131072,3272.171,0.538492
16384,256,131072,6546.439,0.538319
32768,256,131072,13421.917,0.525123
1,512,128,16.892,2.5e-05
2,512,128,19.804,4.2e-05
4,512,128,19.446,8.6e-05
8,512,128,21.466,0.000157
16,512,128,22.701,0.000296
32,512,128,17.276,0.000778
64,512,128,21.308,0.001262
128,512,128,17.608,0.003054
256,512,128,19.485,0.005519
512,512,128,16.978,0.012669
1024,512,128,20.058,0.021447
2048,512,128,25.229,0.034102
4096,512,128,20.306,0.084739
8192,512,128,18.912,0.181975
16384,512,128,24.374,0.282388
32768,512,128,45.477,0.302698
1,512,256,17.255,4.9e-05
2,512,256,20.172,8.3e-05
4,512,256,19.235,0.000175
8,512,256,21.98,0.000306
16,512,256,21.825,0.000616
32,512,256,17.74,0.001516
64,512,256,17.363,0.003097
128,512,256,17.478,0.006153
256,512,256,19.491,0.011036
512,512,256,16.926,0.025415
1024,512,256,19.039,0.045191
2048,512,256,25.079,0.068612
4096,512,256,24.373,0.141202
8192,512,256,25.297,0.272087
16384,512,256,32.162,0.428014
32768,512,256,56.787,0.484827
1,512,512,17.231,9.8e-05
2,512,512,19.379,0.000173
4,512,512,19.384,0.000347
8,512,512,21.888,0.000614
16,512,512,17.682,0.001521
32,512,512,17.475,0.003077
64,512,512,21.412,0.005023
128,512,512,17.404,0.012358
256,512,512,20.553,0.02093
512,512,512,18.747,0.045893
1024,512,512,19.356,0.088901
2048,512,512,25.089,0.137173
4096,512,512,25.696,0.267859
8192,512,512,30.556,0.450512
16384,512,512,47.817,0.575779
32768,512,512,90.541,0.608164
1,512,1024,16.901,0.000199
2,512,1024,17.301,0.000389
4,512,1024,17.255,0.000779
8,512,1024,17.575,0.00153
16,512,1024,17.407,0.003089
32,512,1024,18.621,0.005776
64,512,1024,17.053,0.012613
128,512,1024,19.151,0.022463
256,512,1024,19.334,0.044499
512,512,1024,19.298,0.089167
1024,512,1024,17.141,0.200773
2048,512,1024,24.261,0.283702
4096,512,1024,29.501,0.466625
8192,512,1024,46.098,0.597245
16384,512,1024,87.211,0.631385
32768,512,1024,160.104,0.687847
1,512,2048,17.199,0.000391
2,512,2048,17.799,0.000755
4,512,2048,19.512,0.001378
8,512,2048,21.987,0.002446
16,512,2048,21.655,0.004966
32,512,2048,18.465,0.011648
64,512,2048,16.77,0.025652
128,512,2048,20.953,0.041061
256,512,2048,19.092,0.090129
512,512,2048,25.903,0.132862
1024,512,2048,25.859,0.266171
2048,512,2048,26.729,0.515011
4096,512,2048,45.961,0.599026
8192,512,2048,84.623,0.650692
16384,512,2048,159.033,0.692481
32768,512,2048,306.828,0.717843
1,512,4096,18.726,0.000718
2,512,4096,18.06,0.001489
4,512,4096,19.077,0.002819
8,512,4096,21.761,0.004942
16,512,4096,21.429,0.010037
32,512,4096,18.937,0.022717
64,512,4096,19.596,0.043905
128,512,4096,19.103,0.090076
256,512,4096,24.627,0.139744
512,512,4096,25.912,0.265628
1024,512,4096,31.722,0.433959
2048,512,4096,53.012,0.519355
4096,512,4096,87.365,0.630272
8192,512,4096,170.148,0.647245
16384,512,4096,329.868,0.667706
32768,512,4096,669.815,0.657659
1,512,8192,19.761,0.001361
2,512,8192,17.712,0.003036
4,512,8192,17.985,0.00598
8,512,8192,17.987,0.011958
16,512,8192,17.699,0.024306
32,512,8192,19.394,0.044362
64,512,8192,19.806,0.08688
128,512,8192,17.682,0.194636
256,512,8192,27.565,0.249698
512,512,8192,39.778,0.346073
1024,512,8192,52.38,0.52562
2048,512,8192,95.499,0.576587
4096,512,8192,176.177,0.625094
8192,512,8192,316.54,0.695819
16384,512,8192,632.672,0.696268
32768,512,8192,1330.465,0.662189
1,512,14336,19.465,0.002417
2,512,14336,18.138,0.005188
4,512,14336,17.788,0.010581
8,512,14336,17.811,0.021134
16,512,14336,17.996,0.041832
32,512,14336,18.86,0.079831
64,512,14336,20.044,0.150237
128,512,14336,25.945,0.232127
256,512,14336,34.177,0.352432
512,512,14336,52.179,0.461685
1024,512,14336,89.405,0.538906
2048,512,14336,159.702,0.603383
4096,512,14336,289.768,0.665095
8192,512,14336,555.187,0.694263
16384,512,14336,1163.295,0.662679
32768,512,14336,2373.333,0.649628
1,512,131072,118.008,0.003645
2,512,131072,108.995,0.007894
4,512,131072,110.981,0.015505
8,512,131072,114.331,0.030101
16,512,131072,117.026,0.058816
32,512,131072,121.443,0.113353
64,512,131072,126.875,0.217001
128,512,131072,137.498,0.40047
256,512,131072,191.283,0.575731
512,512,131072,329.963,0.667514
1024,512,131072,655.087,0.672444
2048,512,131072,1368.159,0.643945
4096,512,131072,2716.326,0.648684
8192,512,131072,5454.701,0.646062
16384,512,131072,11321.023,0.622572
32768,512,131072,21958.806,0.641943
1,1024,128,17.026,4.9e-05
2,1024,128,17.154,9.8e-05
4,1024,128,17.856,0.000188
8,1024,128,17.596,0.000382
16,1024,128,20.566,0.000654
32,1024,128,21.507,0.00125
64,1024,128,22.508,0.002389
128,1024,128,22.081,0.004871
256,1024,128,23.006,0.009349
512,1024,128,19.398,0.022177
1024,1024,128,19.175,0.044869
2048,1024,128,21.595,0.079684
4096,1024,128,19.942,0.172575
8192,1024,128,21.843,0.315109
16384,1024,128,41.832,0.329076
32768,1024,128,73.393,0.37513
1,1024,256,17.032,9.9e-05
2,1024,256,17.71,0.00019
4,1024,256,17.597,0.000382
8,1024,256,22.418,0.0006
16,1024,256,22.532,0.001193
32,1024,256,23.372,0.002301
64,1024,256,22.485,0.004783
128,1024,256,22.301,0.009645
256,1024,256,19.921,0.021594
512,1024,256,21.933,0.039227
1024,1024,256,23.659,0.07273
2048,1024,256,25.68,0.134012
4096,1024,256,23.118,0.297735
8192,1024,256,34.712,0.396575
16384,1024,256,54.643,0.503853
32768,1024,256,94.651,0.581756
1,1024,512,16.941,0.000198
2,1024,512,18.09,0.000372
4,1024,512,22.579,0.000595
8,1024,512,21.969,0.001224
16,1024,512,23.07,0.002331
32,1024,512,23.353,0.004605
64,1024,512,22.422,0.009593
128,1024,512,19.822,0.021703
256,1024,512,19.439,0.04426
512,1024,512,19.24,0.089436
1024,1024,512,18.567,0.185359
2048,1024,512,25.847,0.266296
4096,1024,512,27.047,0.508965
8192,1024,512,49.272,0.558769
16384,1024,512,79.957,0.688665
32768,1024,512,150.787,0.730352
1,1024,1024,17.368,0.000387
2,1024,1024,18.671,0.00072
4,1024,1024,18.608,0.001445
8,1024,1024,18.519,0.002904
16,1024,1024,19.078,0.005637
32,1024,1024,20.174,0.010662
64,1024,1024,18.793,0.02289
128,1024,1024,18.748,0.045891
256,1024,1024,19.485,0.08831
512,1024,1024,19.013,0.181003
1024,1024,1024,21.115,0.325969
2048,1024,1024,26.784,0.513956
4096,1024,1024,47.689,0.577325
8192,1024,1024,77.622,0.709383
16384,1024,1024,148.064,0.743781
32768,1024,1024,278.575,0.790648
1,1024,2048,18.605,0.000723
2,1024,2048,18.36,0.001464
4,1024,2048,19.143,0.002809
8,1024,2048,18.861,0.005702
16,1024,2048,18.455,0.011655
32,1024,2048,18.488,0.023269
64,1024,2048,18.974,0.045346
128,1024,2048,18.944,0.090835
256,1024,2048,18.626,0.184765
512,1024,2048,22.258,0.309235
1024,1024,2048,27.116,0.507667
2048,1024,2048,42.166,0.652932
4096,1024,2048,76.373,0.720986
8192,1024,2048,147.044,0.748943
16384,1024,2048,277.646,0.793293
32768,1024,2048,547.019,0.805291
1,1024,4096,19.119,0.001406
2,1024,4096,20.273,0.002652
4,1024,4096,20.306,0.005296
8,1024,4096,19.13,0.011244
16,1024,4096,19.906,0.021611
32,1024,4096,19.395,0.04436
64,1024,4096,18.126,0.094933
128,1024,4096,19.403,0.177373
256,1024,4096,22.624,0.304234
512,1024,4096,30.527,0.450939
1024,1024,4096,55.15,0.499214
2048,1024,4096,87.991,0.625787
4096,1024,4096,153.712,0.716454
8192,1024,4096,297.56,0.740203
16384,1024,4096,591.468,0.744773
