op,world_size,m,h,num_bytes,latency_us,algbw_gbps,busbw_gbps,busbw_ratio
all_reduce,4,256,32768,16777216,183.931,91.215,136.822,0.456074
all_reduce,4,512,32768,33554432,313.795,106.931,160.397,0.534656
all_reduce,4,1024,32768,67108864,552.489,121.466,182.2,0.607332
all_reduce,4,2048,32768,134217728,1020.027,131.583,197.374,0.657913
all_reduce,4,4096,32768,268435456,1956.434,137.207,205.81,0.686033
all_reduce,4,8192,32768,536870912,3783.926,141.882,212.823,0.70941
all_reduce,4,16384,32768,1073741824,7397.069,145.158,217.737,0.725789
all_reduce,4,32768,32768,2147483648,14449.971,148.615,222.923,0.743075
all_reduce,4,65536,32768,4294967296,28427.612,151.084,226.627,0.755422
all_reduce,4,131072,32768,8589934592,56212.847,152.811,229.216,0.764054
all_reduce,4,1,65536,131072,31.437,4.169,6.254,0.020847
all_reduce,4,2,65536,262144,29.45,8.901,13.352,0.044506
all_reduce,4,4,65536,524288,29.778,17.607,26.41,0.088033
all_reduce,4,8,65536,1048576,29.983,34.973,52.459,0.174863
all_reduce,4,16,65536,2097152,45.916,45.674,68.51,0.228368
all_reduce,4,32,65536,4194304,71.66,58.531,87.797,0.292655
all_reduce,4,64,65536,8388608,114.586,73.208,109.812,0.366041
all_reduce,4,128,65536,16777216,184.852,90.76,136.14,0.4538
all_reduce,4,256,65536,33554432,293.437,114.35,171.524,0.571748
all_reduce,4,512,65536,67108864,553.472,121.251,181.876,0.606253
all_reduce,4,1024,65536,134217728,1020.641,131.503,197.255,0.657517
all_reduce,4,2048,65536,268435456,1954.611,137.334,206.002,0.686672
all_reduce,4,4096,65536,536870912,3784.151,141.874,212.81,0.709368
all_reduce,4,8192,65536,1073741824,7399.465,145.111,217.666,0.725554
all_reduce,4,16384,65536,2147483648,14449.152,148.624,222.935,0.743118
all_reduce,4,32768,65536,4294967296,28426.628,151.09,226.634,0.755448
all_reduce,4,65536,65536,8589934592,56229.233,152.766,229.15,0.763832
all_reduce,4,131072,65536,17179869184,111506.25,154.071,231.106,0.770355
all_gather,4,1,2048,4096,25.62,0.639,0.48,0.001599
all_gather,4,2,2048,8192,25.006,1.31,0.983,0.003276
all_gather,4,4,2048,16384,25.068,2.614,1.961,0.006536
all_gather,4,8,2048,32768,24.945,5.255,3.941,0.013136
all_gather,4,16,2048,65536,25.559,10.256,7.692,0.025641
all_gather,4,32,2048,131072,26.501,19.784,14.838,0.049459
all_gather,4,64,2048,262144,25.62,40.927,30.695,0.102318
all_gather,4,128,2048,524288,51.2,40.96,30.72,0.1024
all_gather,4,256,2048,1048576,59.351,70.669,53.002,0.176674
all_gather,4,512,2048,2097152,72.724,115.348,86.511,0.288369
all_gather,4,1024,2048,4194304,124.539,134.715,101.036,0.336787
all_gather,4,2048,2048,8388608,186.286,180.123,135.092,0.450308
all_gather,4,4096,2048,16777216,328.868,204.06,153.045,0.510151
all_gather,4,8192,2048,33554432,598.057,224.423,168.317,0.561057
all_gather,4,16384,2048,67108864,1121.608,239.331,179.498,0.598327
all_gather,4,32768,2048,134217728,2135.347,251.421,188.566,0.628552
all_gather,4,65536,2048,268435456,4125.327,260.28,195.21,0.650701
all_gather,4,1,4096,8192,25.272,1.297,0.972,0.003241
all_gather,4,2,4096,16384,25.006,2.621,1.966,0.006552
all_gather,4,4,4096,32768,25.108,5.22,3.915,0.013051
all_gather,4,8,4096,65536,25.477,10.289,7.717,0.025723
all_gather,4,16,4096,131072,62.239,8.424,6.318,0.02106
all_gather,4,32,4096,262144,25.661,40.862,30.646,0.102155
all_gather,4,64,4096,524288,51.343,40.846,30.634,0.102114
all_gather,4,128,4096,1048576,59.392,70.621,52.966,0.176552
all_gather,4,256,4096,2097152,73.134,114.702,86.026,0.286754
all_gather,4,512,4096,4194304,117.862,142.346,106.759,0.355864
all_gather,4,1024,4096,8388608,177.766,188.756,141.567,0.471889
all_gather,4,2048,4096,16777216,341.012,196.793,147.595,0.491982
all_gather,4,4096,4096,33554432,593.039,226.322,169.741,0.565804
all_gather,4,8192,4096,67108864,1120.584,239.55,179.662,0.598874
all_gather,4,16384,4096,134217728,2135.9,251.356,188.517,0.62839
all_gather,4,32768,4096,268435456,4121.6,260.516,195.387,0.651289
all_gather,4,65536,4096,536870912,7985.848,268.911,201.683,0.672278
all_gather,4,1,8192,16384,26.276,2.494,1.871,0.006235
all_gather,4,2,8192,32768,25.887,5.063,3.797,0.012658
all_gather,4,4,8192,65536,25.887,10.127,7.595,0.025316
all_gather,4,8,8192,131072,26.01,20.157,15.118,0.050394
all_gather,4,16,8192,262144,25.887,40.506,30.38,0.101266
all_gather,4,32,8192,524288,54.927,38.18,28.635,0.095451
all_gather,4,64,8192,1048576,60.027,69.874,52.405,0.174684
all_gather,4,128,8192,2097152,161.423,51.967,38.975,0.129916
all_gather,4,256,8192,4194304,125.071,134.141,100.606,0.335353
all_gather,4,512,8192,8388608,177.889,188.625,141.469,0.471563
all_gather,4,1024,8192,16777216,328.438,204.327,153.246,0.510819
all_gather,4,2048,8192,33554432,721.633,185.992,139.494,0.464979
all_gather,4,4096,8192,67108864,1123.287,238.973,179.23,0.597433
all_gather,4,8192,8192,134217728,2134.344,251.539,188.654,0.628848
all_gather,4,16384,8192,268435456,4124.221,260.35,195.263,0.650875
all_gather,4,32768,8192,536870912,7991.03,268.737,201.553,0.671842
all_gather,4,65536,8192,1073741824,15600.537,275.309,206.482,0.688272
all_gather,4,1,16384,32768,25.907,5.059,3.794,0.012648
all_gather,4,2,16384,65536,25.764,10.175,7.631,0.025437
all_gather,4,4,16384,131072,62.382,8.404,6.303,0.021011
all_gather,4,8,16384,262144,26.419,39.69,29.767,0.099225
all_gather,4,16,16384,524288,54.907,38.195,28.646,0.095487
all_gather,4,32,16384,1048576,59.74,70.209,52.657,0.175523
all_gather,4,64,16384,2097152,73.073,114.798,86.099,0.286996
all_gather,4,128,16384,4194304,117.268,143.067,107.3,0.357667
all_gather,4,256,16384,8388608,177.93,188.582,141.436,0.471455
all_gather,4,512,16384,16777216,365.609,183.554,137.665,0.458884
all_gather,4,1024,16384,33554432,587.653,228.396,171.297,0.57099
all_gather,4,2048,16384,67108864,1120.707,239.523,179.643,0.598809
all_gather,4,4096,16384,134217728,2135.675,251.382,188.537,0.628456
all_gather,4,8192,16384,268435456,4123.996,260.364,195.273,0.650911
all_gather,4,16384,16384,536870912,7989.944,268.773,201.58,0.671933
all_gather,4,32768,16384,1073741824,15596.626,275.378,206.533,0.688445
all_gather,4,65536,16384,2147483648,31145.042,275.804,206.853,0.689511
all_gather,4,1,32768,65536,28.631,9.156,6.867,0.02289
all_gather,4,2,32768,131072,27.32,19.19,14.393,0.047976
all_gather,4,4,32768,262144,26.44,39.659,29.744,0.099148
all_gather,4,8,32768,524288,51.22,40.944,30.708,0.102359
all_gather,4,16,32768,1048576,64.451,65.078,48.808,0.162695
all_gather,4,32,32768,2097152,72.929,115.024,86.268,0.28756
all_gather,4,64,32768,4194304,117.74,142.494,106.871,0.356236
all_gather,4,128,32768,8388608,177.357,189.192,141.894,0.472979
all_gather,4,256,32768,16777216,329.4,203.73,152.798,0.509326
all_gather,4,512,32768,33554432,596.357,225.063,168.797,0.562657
all_gather,4,1024,32768,67108864,1122.529,239.134,179.351,0.597836
all_gather,4,2048,32768,134217728,2133.955,251.585,188.689,0.628962
all_gather,4,4096,32768,268435456,4125.327,260.28,195.21,0.650701
all_gather,4,8192,32768,536870912,7988.654,268.817,201.613,0.672042
all_gather,4,16384,32768,1073741824,15602.811,275.269,206.452,0.688172
all_gather,4,32768,32768,2147483648,31099.167,276.211,207.158,0.690528
all_gather,4,65536,32768,4294967296,61896.519,277.558,208.168,0.693895
reduce_scatter,4,1,2048,4096,33.382,0.123,0.092,0.000307
reduce_scatter,4,2,2048,8192,28.119,0.291,0.218,0.000728
reduce_scatter,4,4,2048,16384,35.451,0.462,0.347,0.001155
reduce_scatter,4,8,2048,32768,26.747,1.225,0.919,0.003063
reduce_scatter,4,16,2048,65536,26.993,2.428,1.821,0.00607
reduce_scatter,4,32,2048,131072,27.156,4.827,3.62,0.012066
reduce_scatter,4,64,2048,262144,71.803,3.651,2.738,0.009127
reduce_scatter,4,128,2048,524288,26.972,19.438,14.579,0.048595
reduce_scatter,4,256,2048,1048576,33.526,31.277,23.458,0.078192
reduce_scatter,4,512,2048,2097152,48.947,42.845,32.134,0.107113
reduce_scatter,4,1024,2048,4194304,59.453,70.548,52.911,0.176369
reduce_scatter,4,2048,2048,8388608,72.11,116.331,87.248,0.290826
reduce_scatter,4,4096,2048,16777216,109.015,153.898,115.424,0.384745
reduce_scatter,4,8192,2048,33554432,167.383,200.465,150.349,0.501162
reduce_scatter,4,16384,2048,67108864,308.879,217.266,162.949,0.543164
reduce_scatter,4,32768,2048,134217728,548.106,244.875,183.657,0.612188
reduce_scatter,4,65536,2048,268435456,1055.355,254.356,190.767,0.635889
reduce_scatter,4,1,4096,8192,27.607,0.297,0.223,0.000742
reduce_scatter,4,2,4096,16384,26.747,0.613,0.459,0.001531
reduce_scatter,4,4,4096,32768,27.525,1.19,0.893,0.002976
reduce_scatter,4,8,4096,65536,26.665,2.458,1.843,0.006144
reduce_scatter,4,16,4096,131072,32.358,4.051,3.038,0.010127
reduce_scatter,4,32,4096,262144,31.908,8.216,6.162,0.020539
reduce_scatter,4,64,4096,524288,27.054,19.379,14.534,0.048448
reduce_scatter,4,128,4096,1048576,27.238,38.496,28.872,0.096241
reduce_scatter,4,256,4096,2097152,48.067,43.63,32.723,0.109075
reduce_scatter,4,512,4096,4194304,63.242,66.321,49.741,0.165803
reduce_scatter,4,1024,4096,8388608,169.656,49.445,37.084,0.123612
reduce_scatter,4,2048,4096,16777216,247.03,67.916,50.937,0.169789
reduce_scatter,4,4096,4096,33554432,167.178,200.711,150.533,0.501776
reduce_scatter,4,8192,4096,67108864,307.446,218.279,163.709,0.545697
reduce_scatter,4,16384,4096,134217728,722.903,185.665,139.249,0.464162
reduce_scatter,4,32768,4096,268435456,1052.733,254.989,191.242,0.637473
reduce_scatter,4,65536,4096,536870912,2020.577,265.702,199.276,0.664254
reduce_scatter,4,1,8192,16384,27.853,0.588,0.441,0.001471
reduce_scatter,4,2,8192,32768,26.624,1.231,0.923,0.003077
reduce_scatter,4,4,8192,65536,27.341,2.397,1.798,0.005993
reduce_scatter,4,8,8192,131072,26.993,4.856,3.642,0.01214
reduce_scatter,4,16,8192,262144,27.832,9.419,7.064,0.023547
reduce_scatter,4,32,8192,524288,27.484,19.076,14.307,0.04769
reduce_scatter,4,64,8192,1048576,27.668,37.898,28.423,0.094745
reduce_scatter,4,128,8192,2097152,48.128,43.574,32.681,0.108936
reduce_scatter,4,256,8192,4194304,57.446,73.012,54.759,0.182531
reduce_scatter,4,512,8192,8388608,66.765,125.644,94.233,0.31411
reduce_scatter,4,1024,8192,16777216,185.836,90.28,67.71,0.2257
reduce_scatter,4,2048,8192,33554432,167.424,200.416,150.312,0.50104
reduce_scatter,4,4096,8192,67108864,429.179,156.366,117.274,0.390914
reduce_scatter,4,8192,8192,134217728,631.48,212.545,159.408,0.531361
reduce_scatter,4,16384,8192,268435456,1055.723,254.267,190.7,0.635667
reduce_scatter,4,32768,8192,536870912,2023.301,265.344,199.008,0.66336
reduce_scatter,4,65536,8192,1073741824,3958.805,271.229,203.422,0.678072
reduce_scatter,4,1,16384,32768,27.197,1.205,0.904,0.003012
reduce_scatter,4,2,16384,65536,26.829,2.443,1.832,0.006107
reduce_scatter,4,4,16384,131072,28.713,4.565,3.424,0.011412
reduce_scatter,4,8,16384,262144,27.177,9.646,7.234,0.024115
reduce_scatter,4,16,16384,524288,27.116,19.335,14.502,0.048338
reduce_scatter,4,32,16384,1048576,27.361,38.323,28.743,0.095808
reduce_scatter,4,64,16384,2097152,47.841,43.836,32.877,0.109589
reduce_scatter,4,128,16384,4194304,56.955,73.643,55.232,0.184106
reduce_scatter,4,256,16384,8388608,66.601,125.953,94.465,0.314883
reduce_scatter,4,512,16384,16777216,109.22,153.61,115.207,0.384024
reduce_scatter,4,1024,16384,33554432,167.342,200.514,150.386,0.501285
reduce_scatter,4,2048,16384,67108864,332.575,201.786,151.339,0.504465
reduce_scatter,4,4096,16384,134217728,615.424,218.09,163.567,0.545225
reduce_scatter,4,8192,16384,268435456,1053.962,254.692,191.019,0.636729
reduce_scatter,4,16384,16384,536870912,2032.292,264.17,198.128,0.660425
reduce_scatter,4,32768,16384,1073741824,3956.122,271.413,203.56,0.678532
reduce_scatter,4,65536,16384,2147483648,7710.085,278.529,208.897,0.696323
reduce_scatter,4,1,32768,65536,27.238,2.406,1.805,0.006015
reduce_scatter,4,2,32768,131072,28.467,4.604,3.453,0.011511
reduce_scatter,4,4,32768,262144,67.543,3.881,2.911,0.009703
reduce_scatter,4,8,32768,524288,28.365,18.484,13.863,0.046209
reduce_scatter,4,16,32768,1048576,28.099,37.318,27.988,0.093294
reduce_scatter,4,32,32768,2097152,48.108,43.593,32.695,0.108983
reduce_scatter,4,64,32768,4194304,57.59,72.831,54.623,0.182077
reduce_scatter,4,128,32768,8388608,66.54,126.07,94.552,0.315174
reduce_scatter,4,256,32768,16777216,109.384,153.38,115.035,0.383449
reduce_scatter,4,512,32768,33554432,264.376,126.919,95.189,0.317298
reduce_scatter,4,1024,32768,67108864,309.309,216.964,162.723,0.542409
reduce_scatter,4,2048,32768,134217728,548.024,244.912,183.684,0.61228
reduce_scatter,4,4096,32768,268435456,1054.679,254.519,190.889,0.636297
reduce_scatter,4,8192,32768,536870912,2021.827,265.538,199.153,0.663844
reduce_scatter,4,16384,32768,1073741824,3959.849,271.157,203.368,0.677893
reduce_scatter,4,32768,32768,2147483648,7709.962,278.534,208.9,0.696334
reduce_scatter,4,65536,32768,4294967296,15117.62,284.103,213.078,0.710259
