op,world_size,m,h,num_bytes,latency_us,algbw_gbps,busbw_gbps,busbw_ratio
all_reduce,2,1,2048,4096,43.807,0.094,0.094,0.000312
all_reduce,2,2,2048,8192,41.411,0.198,0.198,0.000659
all_reduce,2,4,2048,16384,43.725,0.375,0.375,0.001249
all_reduce,2,8,2048,32768,42.086,0.779,0.779,0.002595
all_reduce,2,16,2048,65536,42.271,1.55,1.55,0.005168
all_reduce,2,32,2048,131072,42.373,3.093,3.093,0.010311
all_reduce,2,64,2048,262144,42.476,6.172,6.172,0.020572
all_reduce,2,128,2048,524288,43.54,12.041,12.041,0.040138
all_reduce,2,256,2048,1048576,52.531,19.961,19.961,0.066537
all_reduce,2,512,2048,2097152,60.969,34.397,34.397,0.114657
all_reduce,2,1024,2048,4194304,69.734,60.147,60.147,0.200489
all_reduce,2,2048,2048,8388608,103.588,80.981,80.981,0.269935
all_reduce,2,4096,2048,16777216,297.452,56.403,56.403,0.188011
all_reduce,2,8192,2048,33554432,261.919,128.11,128.11,0.427034
all_reduce,2,16384,2048,67108864,455.619,147.292,147.292,0.490973
all_reduce,2,32768,2048,134217728,874.189,153.534,153.534,0.51178
all_reduce,2,65536,2048,268435456,1569.444,171.039,171.039,0.570129
all_reduce,2,131072,2048,536870912,2904.617,184.834,184.834,0.616112
all_reduce,2,1,4096,8192,29.368,0.279,0.279,0.00093
all_reduce,2,2,4096,16384,29.348,0.558,0.558,0.001861
all_reduce,2,4,4096,32768,29.02,1.129,1.129,0.003764
all_reduce,2,8,4096,65536,29.368,2.232,2.232,0.007438
all_reduce,2,16,4096,131072,29.778,4.402,4.402,0.014672
all_reduce,2,32,4096,262144,29.757,8.809,8.809,0.029365
all_reduce,2,64,4096,524288,31.273,16.765,16.765,0.055883
all_reduce,2,128,4096,1048576,40.468,25.911,25.911,0.08637
all_reduce,2,256,4096,2097152,48.067,43.63,43.63,0.145434
all_reduce,2,512,4096,4194304,62.239,67.391,67.391,0.224635
all_reduce,2,1024,4096,8388608,83.538,100.417,100.417,0.334723
all_reduce,2,2048,4096,16777216,127.631,131.451,131.451,0.438169
all_reduce,2,4096,4096,33554432,227.389,147.564,147.564,0.491879
all_reduce,2,8192,4096,67108864,521.564,128.668,128.668,0.428895
all_reduce,2,16384,4096,134217728,778.158,172.481,172.481,0.574938
all_reduce,2,32768,4096,268435456,1489.859,180.175,180.175,0.600584
all_reduce,2,65536,4096,536870912,2906.911,184.688,184.688,0.615626
all_reduce,2,131072,4096,1073741824,5588.582,192.131,192.131,0.640438
all_reduce,2,1,8192,16384,29.819,0.549,0.549,0.001832
all_reduce,2,2,8192,32768,30.249,1.083,1.083,0.003611
all_reduce,2,4,8192,65536,32.87,1.994,1.994,0.006646
all_reduce,2,8,8192,131072,32.707,4.008,4.008,0.013358
all_reduce,2,16,8192,262144,32.666,8.025,8.025,0.02675
all_reduce,2,32,8192,524288,33.505,15.648,15.648,0.05216
all_reduce,2,64,8192,1048576,40.12,26.136,26.136,0.087119
all_reduce,2,128,8192,2097152,48.579,43.17,43.17,0.143901
all_reduce,2,256,8192,4194304,165.683,25.315,25.315,0.084384
all_reduce,2,512,8192,8388608,83.026,101.036,101.036,0.336787
all_reduce,2,1024,8192,16777216,127.672,131.408,131.408,0.438028
all_reduce,2,2048,8192,33554432,226.959,147.843,147.843,0.492811
all_reduce,2,4096,8192,67108864,406.651,165.028,165.028,0.550094
all_reduce,2,8192,8192,134217728,866.345,154.924,154.924,0.516414
all_reduce,2,16384,8192,268435456,1489.162,180.259,180.259,0.600865
all_reduce,2,32768,8192,536870912,2903.695,184.892,184.892,0.616308
all_reduce,2,65536,8192,1073741824,5575.209,192.592,192.592,0.641974
all_reduce,2,131072,8192,2147483648,10682.88,201.021,201.021,0.67007
all_reduce,2,1,16384,32768,29.757,1.101,1.101,0.003671
all_reduce,2,2,16384,65536,29.307,2.236,2.236,0.007454
all_reduce,2,4,16384,131072,29.102,4.504,4.504,0.015013
all_reduce,2,8,16384,262144,29.45,8.901,8.901,0.029671
all_reduce,2,16,16384,524288,29.573,17.729,17.729,0.059095
all_reduce,2,32,16384,1048576,40.428,25.937,25.937,0.086457
all_reduce,2,64,16384,2097152,48.067,43.63,43.63,0.145434
all_reduce,2,128,16384,4194304,56.259,74.554,74.554,0.248514
all_reduce,2,256,16384,8388608,83.374,100.614,100.614,0.33538
all_reduce,2,512,16384,16777216,128.389,130.675,130.675,0.435582
all_reduce,2,1024,16384,33554432,227.553,147.457,147.457,0.491525
all_reduce,2,2048,16384,67108864,407.265,164.779,164.779,0.549264
all_reduce,2,4096,16384,134217728,777.748,172.572,172.572,0.57524
all_reduce,2,8192,16384,268435456,1490.227,180.131,180.131,0.600435
all_reduce,2,16384,16384,536870912,2906.931,184.686,184.686,0.615622
all_reduce,2,32768,16384,1073741824,5595.197,191.904,191.904,0.639681
all_reduce,2,65536,16384,2147483648,10721.566,200.296,200.296,0.667652
all_reduce,2,131072,16384,4294967296,20748.0,207.006,207.006,0.690021
all_reduce,2,1,32768,65536,32.952,1.989,1.989,0.006629
all_reduce,2,2,32768,131072,31.908,4.108,4.108,0.013693
all_reduce,2,4,32768,262144,31.171,8.41,8.41,0.028033
all_reduce,2,8,32768,524288,31.498,16.645,16.645,0.055483
all_reduce,2,16,32768,1048576,43.254,24.242,24.242,0.080808
all_reduce,2,32,32768,2097152,48.292,43.427,43.427,0.144755
all_reduce,2,64,32768,4194304,56.832,73.802,73.802,0.246006
all_reduce,2,128,32768,8388608,83.763,100.147,100.147,0.333822
all_reduce,2,256,32768,16777216,127.611,131.472,131.472,0.438239
all_reduce,2,512,32768,33554432,227.717,147.351,147.351,0.491171
