op,world_size,m,h,num_bytes,latency_us,algbw_gbps,busbw_gbps,busbw_ratio
all_reduce,2,1024,32768,67108864,407.183,164.812,164.812,0.549375
all_reduce,2,2048,32768,134217728,777.318,172.668,172.668,0.575559
all_reduce,2,4096,32768,268435456,1488.445,180.346,180.346,0.601154
all_reduce,2,8192,32768,536870912,2902.856,184.946,184.946,0.616486
all_reduce,2,16384,32768,1073741824,5575.844,192.57,192.57,0.641901
all_reduce,2,32768,32768,2147483648,10686.628,200.951,200.951,0.669835
all_reduce,2,65536,32768,4294967296,20742.0,207.066,207.066,0.690221
all_reduce,2,131072,32768,8589934592,41823.091,205.387,205.387,0.684625
all_reduce,2,1,65536,131072,30.515,4.295,4.295,0.014318
all_reduce,2,2,65536,262144,29.942,8.755,8.755,0.029184
all_reduce,2,4,65536,524288,29.409,17.827,17.827,0.059424
all_reduce,2,8,65536,1048576,40.305,26.016,26.016,0.086721
all_reduce,2,16,65536,2097152,49.336,42.507,42.507,0.141691
all_reduce,2,32,65536,4194304,56.054,74.826,74.826,0.249422
all_reduce,2,64,65536,8388608,83.538,100.417,100.417,0.334723
all_reduce,2,128,65536,16777216,127.918,131.156,131.156,0.437186
all_reduce,2,256,65536,33554432,229.089,146.469,146.469,0.488229
all_reduce,2,512,65536,67108864,407.613,164.638,164.638,0.548795
all_reduce,2,1024,65536,134217728,777.277,172.677,172.677,0.575589
all_reduce,2,2048,65536,268435456,1489.613,180.205,180.205,0.600683
all_reduce,2,4096,65536,536870912,2901.32,185.044,185.044,0.616812
all_reduce,2,8192,65536,1073741824,5583.667,192.3,192.3,0.641002
all_reduce,2,16384,65536,2147483648,10719.519,200.334,200.334,0.66778
all_reduce,2,32768,65536,4294967296,20744.929,207.037,207.037,0.690123
all_reduce,2,65536,65536,8589934592,41842.871,205.29,205.29,0.684301
all_reduce,2,131072,65536,17179869184,83348.643,206.121,206.121,0.687069
all_gather,2,1,2048,4096,26.03,0.315,0.157,0.000525
all_gather,2,2,2048,8192,25.313,0.647,0.324,0.001079
all_gather,2,4,2048,16384,25.457,1.287,0.644,0.002145
all_gather,2,8,2048,32768,25.661,2.554,1.277,0.004256
all_gather,2,16,2048,65536,25.928,5.055,2.528,0.008425
all_gather,2,32,2048,131072,26.419,9.922,4.961,0.016537
all_gather,2,64,2048,262144,25.866,20.269,10.135,0.033782
all_gather,2,128,2048,524288,26.276,39.906,19.953,0.066511
all_gather,2,256,2048,1048576,37.13,56.481,28.24,0.094135
all_gather,2,512,2048,2097152,43.5,96.422,48.211,0.160703
all_gather,2,1024,2048,4194304,189.358,44.3,22.15,0.073834
all_gather,2,2048,2048,8388608,95.642,175.418,87.709,0.292363
all_gather,2,4096,2048,16777216,157.901,212.503,106.252,0.354172
all_gather,2,8192,2048,33554432,271.729,246.97,123.485,0.411617
all_gather,2,16384,2048,67108864,508.785,263.801,131.9,0.439668
all_gather,2,32768,2048,134217728,967.987,277.313,138.657,0.462188
all_gather,2,65536,2048,268435456,1876.746,286.065,143.032,0.476775
all_gather,2,1,4096,8192,25.805,0.635,0.317,0.001058
all_gather,2,2,4096,16384,25.805,1.27,0.635,0.002116
all_gather,2,4,4096,32768,25.784,2.542,1.271,0.004236
all_gather,2,8,4096,65536,26.296,4.984,2.492,0.008307
all_gather,2,16,4096,131072,26.501,9.892,4.946,0.016486
all_gather,2,32,4096,262144,25.989,20.173,10.087,0.033622
all_gather,2,64,4096,524288,26.255,39.938,19.969,0.066563
all_gather,2,128,4096,1048576,37.192,56.388,28.194,0.093979
all_gather,2,256,4096,2097152,42.619,98.414,49.207,0.164024
all_gather,2,512,4096,4194304,60.293,139.13,69.565,0.231884
all_gather,2,1024,4096,8388608,93.942,178.592,89.296,0.297653
all_gather,2,2048,4096,16777216,155.73,215.466,107.733,0.359109
all_gather,2,4096,4096,33554432,271.606,247.082,123.541,0.411803
all_gather,2,8192,4096,67108864,509.071,263.652,131.826,0.43942
all_gather,2,16384,4096,134217728,968.643,277.125,138.563,0.461876
all_gather,2,32768,4096,268435456,1876.685,286.074,143.037,0.47679
all_gather,2,65536,4096,536870912,3553.587,302.157,151.079,0.503595
all_gather,2,1,8192,16384,26.214,1.25,0.625,0.002083
all_gather,2,2,8192,32768,27.771,2.36,1.18,0.003933
all_gather,2,4,8192,65536,26.194,5.004,2.502,0.00834
all_gather,2,8,8192,131072,26.051,10.063,5.031,0.016771
all_gather,2,16,8192,262144,25.907,20.237,10.119,0.033729
all_gather,2,32,8192,524288,26.194,40.031,20.016,0.066719
all_gather,2,64,8192,1048576,37.151,56.45,28.225,0.094083
all_gather,2,128,8192,2097152,42.373,98.985,49.493,0.164975
all_gather,2,256,8192,4194304,59.904,140.034,70.017,0.23339
all_gather,2,512,8192,8388608,94.188,178.126,89.063,0.296876
all_gather,2,1024,8192,16777216,157.184,213.472,106.736,0.355787
all_gather,2,2048,8192,33554432,272.241,246.506,123.253,0.410843
all_gather,2,4096,8192,67108864,661.914,202.772,101.386,0.337954
all_gather,2,8192,8192,134217728,967.414,277.477,138.739,0.462462
all_gather,2,16384,8192,268435456,1870.787,286.976,143.488,0.478293
all_gather,2,32768,8192,536870912,3556.598,301.901,150.951,0.503169
all_gather,2,65536,8192,1073741824,6744.003,318.429,159.214,0.530714
all_gather,2,1,16384,32768,25.907,2.53,1.265,0.004216
all_gather,2,2,16384,65536,26.255,4.992,2.496,0.00832
all_gather,2,4,16384,131072,26.583,9.861,4.931,0.016436
all_gather,2,8,16384,262144,26.132,20.063,10.031,0.033438
all_gather,2,16,16384,524288,26.747,39.204,19.602,0.065339
all_gather,2,32,16384,1048576,38.789,54.065,27.033,0.090109
all_gather,2,64,16384,2097152,42.598,98.462,49.231,0.164103
all_gather,2,128,16384,4194304,59.945,139.939,69.969,0.233231
all_gather,2,256,16384,8388608,94.044,178.397,89.199,0.297329
all_gather,2,512,16384,16777216,155.628,215.607,107.804,0.359346
all_gather,2,1024,16384,33554432,272.343,246.413,123.206,0.410688
all_gather,2,2048,16384,67108864,509.399,263.482,131.741,0.439137
all_gather,2,4096,16384,134217728,967.66,277.407,138.703,0.462345
all_gather,2,8192,16384,268435456,1875.149,286.308,143.154,0.477181
all_gather,2,16384,16384,536870912,3568.067,300.931,150.465,0.501552
all_gather,2,32768,16384,1073741824,6754.243,317.946,158.973,0.52991
all_gather,2,65536,16384,2147483648,13101.425,327.824,163.912,0.546374
all_gather,2,1,32768,65536,28.344,4.624,2.312,0.007707
all_gather,2,2,32768,131072,26.747,9.801,4.9,0.016335
all_gather,2,4,32768,262144,26.235,19.984,9.992,0.033307
all_gather,2,8,32768,524288,26.542,39.506,19.753,0.065844
all_gather,2,16,32768,1048576,37.192,56.388,28.194,0.093979
all_gather,2,32,32768,2097152,43.315,96.832,48.416,0.161387
all_gather,2,64,32768,4194304,59.965,139.891,69.945,0.233151
all_gather,2,128,32768,8388608,93.757,178.943,89.471,0.298238
all_gather,2,256,32768,16777216,160.829,208.634,104.317,0.347723
all_gather,2,512,32768,33554432,272.384,246.376,123.188,0.410627
all_gather,2,1024,32768,67108864,509.215,263.578,131.789,0.439296
all_gather,2,2048,32768,134217728,967.987,277.313,138.657,0.462188
all_gather,2,4096,32768,268435456,1874.842,286.355,143.178,0.477259
all_gather,2,8192,32768,536870912,3548.959,302.551,151.276,0.504252
all_gather,2,16384,32768,1073741824,6746.829,318.295,159.148,0.530492
all_gather,2,32768,32768,2147483648,13101.035,327.834,163.917,0.54639
all_gather,2,65536,32768,4294967296,26230.396,327.48,163.74,0.5458
reduce_scatter,2,1,2048,4096,26.726,0.153,0.077,0.000255
reduce_scatter,2,2,2048,8192,26.604,0.308,0.154,0.000513
reduce_scatter,2,4,2048,16384,26.87,0.61,0.305,0.001016
reduce_scatter,2,8,2048,32768,27.341,1.199,0.599,0.001998
reduce_scatter,2,16,2048,65536,27.484,2.385,1.192,0.003974
reduce_scatter,2,32,2048,131072,28.14,4.658,2.329,0.007763
reduce_scatter,2,64,2048,262144,28.406,9.229,4.614,0.015381
reduce_scatter,2,128,2048,524288,28.242,18.564,9.282,0.03094
reduce_scatter,2,256,2048,1048576,27.955,37.509,18.755,0.062515
reduce_scatter,2,512,2048,2097152,35.553,58.986,29.493,0.09831
reduce_scatter,2,1024,2048,4194304,38.973,107.62,53.81,0.179366
reduce_scatter,2,2048,2048,8388608,53.658,156.336,78.168,0.26056
reduce_scatter,2,4096,2048,16777216,82.698,202.873,101.436,0.338121
reduce_scatter,2,8192,2048,33554432,139.018,241.367,120.684,0.402279
reduce_scatter,2,16384,2048,67108864,238.858,280.957,140.478,0.468261
reduce_scatter,2,32768,2048,134217728,450.314,298.053,149.027,0.496756
reduce_scatter,2,65536,2048,268435456,857.047,313.21,156.605,0.522016
reduce_scatter,2,1,4096,8192,28.549,0.287,0.143,0.000478
reduce_scatter,2,2,4096,16384,28.303,0.579,0.289,0.000965
reduce_scatter,2,4,4096,32768,28.774,1.139,0.569,0.001898
reduce_scatter,2,8,4096,65536,28.774,2.278,1.139,0.003796
reduce_scatter,2,16,4096,131072,29.266,4.479,2.239,0.007464
reduce_scatter,2,32,4096,262144,28.897,9.072,4.536,0.015119
reduce_scatter,2,64,4096,524288,28.18,18.605,9.302,0.031008
reduce_scatter,2,128,4096,1048576,28.549,36.729,18.364,0.061215
reduce_scatter,2,256,4096,2097152,35.267,59.466,29.733,0.09911
reduce_scatter,2,512,4096,4194304,39.363,106.556,53.278,0.177593
reduce_scatter,2,1024,4096,8388608,53.309,157.357,78.678,0.262261
reduce_scatter,2,2048,4096,16777216,82.821,202.572,101.286,0.33762
reduce_scatter,2,4096,4096,33554432,175.985,190.667,95.333,0.317778
reduce_scatter,2,8192,4096,67108864,238.551,281.319,140.659,0.468864
reduce_scatter,2,16384,4096,134217728,450.171,298.148,149.074,0.496914
reduce_scatter,2,32768,4096,268435456,856.904,313.262,156.631,0.522104
reduce_scatter,2,65536,4096,536870912,1678.684,319.816,159.908,0.533027
reduce_scatter,2,1,8192,16384,30.29,0.541,0.27,0.000902
reduce_scatter,2,2,8192,32768,26.972,1.215,0.607,0.002025
reduce_scatter,2,4,8192,65536,27.279,2.402,1.201,0.004004
reduce_scatter,2,8,8192,131072,27.894,4.699,2.349,0.007832
reduce_scatter,2,16,8192,262144,28.16,9.309,4.655,0.015515
reduce_scatter,2,32,8192,524288,28.058,18.686,9.343,0.031144
reduce_scatter,2,64,8192,1048576,28.078,37.345,18.673,0.062242
reduce_scatter,2,128,8192,2097152,34.529,60.735,30.368,0.101226
reduce_scatter,2,256,8192,4194304,38.851,107.96,53.98,0.179933
reduce_scatter,2,512,8192,8388608,53.494,156.815,78.407,0.261358
reduce_scatter,2,1024,8192,16777216,85.565,196.075,98.037,0.326791
reduce_scatter,2,2048,8192,33554432,139.018,241.367,120.684,0.402279
reduce_scatter,2,4096,8192,67108864,239.247,280.5,140.25,0.4675
reduce_scatter,2,8192,8192,134217728,583.455,230.04,115.02,0.383399
reduce_scatter,2,16384,8192,268435456,857.149,313.172,156.586,0.521954
reduce_scatter,2,32768,8192,536870912,1675.755,320.375,160.188,0.533959
reduce_scatter,2,65536,8192,1073741824,3273.994,327.961,163.98,0.546601
reduce_scatter,2,1,16384,32768,28.365,1.155,0.578,0.001925
reduce_scatter,2,2,16384,65536,28.099,2.332,1.166,0.003887
reduce_scatter,2,4,16384,131072,28.242,4.641,2.321,0.007735
reduce_scatter,2,8,16384,262144,28.099,9.329,4.665,0.015549
reduce_scatter,2,16,16384,524288,28.18,18.605,9.302,0.031008
reduce_scatter,2,32,16384,1048576,27.791,37.73,18.865,0.062884
reduce_scatter,2,64,16384,2097152,34.345,61.061,30.531,0.101769
reduce_scatter,2,128,16384,4194304,38.892,107.846,53.923,0.179744
reduce_scatter,2,256,16384,8388608,53.391,157.115,78.558,0.261859
reduce_scatter,2,512,16384,16777216,82.596,203.124,101.562,0.33854
reduce_scatter,2,1024,16384,33554432,139.018,241.367,120.684,0.402279
reduce_scatter,2,2048,16384,67108864,238.735,281.101,140.551,0.468502
reduce_scatter,2,4096,16384,134217728,449.659,298.488,149.244,0.49748
reduce_scatter,2,8192,16384,268435456,857.027,313.217,156.609,0.522029
reduce_scatter,2,16384,16384,536870912,1676.165,320.297,160.149,0.533829
reduce_scatter,2,32768,16384,1073741824,3276.8,327.68,163.84,0.546133
reduce_scatter,2,65536,16384,2147483648,6382.387,336.47,168.235,0.560784
reduce_scatter,2,1,32768,65536,27.525,2.381,1.19,0.003968
reduce_scatter,2,2,32768,131072,28.713,4.565,2.282,0.007608
reduce_scatter,2,4,32768,262144,28.549,9.182,4.591,0.015304
reduce_scatter,2,8,32768,524288,28.242,18.564,9.282,0.03094
reduce_scatter,2,16,32768,1048576,27.935,37.537,18.768,0.062561
reduce_scatter,2,32,32768,2097152,35.123,59.708,29.854,0.099514
reduce_scatter,2,64,32768,4194304,38.912,107.789,53.895,0.179649
reduce_scatter,2,128,32768,8388608,54.129,154.975,77.488,0.258292
reduce_scatter,2,256,32768,16777216,82.719,202.822,101.411,0.338037
reduce_scatter,2,512,32768,33554432,138.793,241.759,120.879,0.402931
reduce_scatter,2,1024,32768,67108864,238.674,281.174,140.587,0.468623
reduce_scatter,2,2048,32768,134217728,450.621,297.85,148.925,0.496417
reduce_scatter,2,4096,32768,268435456,857.436,313.068,156.534,0.521779
reduce_scatter,2,8192,32768,536870912,1676.472,320.238,160.119,0.533731
reduce_scatter,2,16384,32768,1073741824,3274.609,327.899,163.95,0.546499
reduce_scatter,2,32768,32768,2147483648,6381.179,336.534,168.267,0.56089
reduce_scatter,2,65536,32768,4294967296,12407.91,346.148,173.074,0.576913
