b1,b2,m,k,n,latency_us,mfu
2,8,256,128,256,15.048,0.057176
2,8,512,128,256,15.645,0.109983
2,8,1024,128,256,18.866,0.182419
2,8,2048,128,256,27.656,0.248879
2,8,4096,128,256,53.791,0.255915
2,8,1,128,512,15.766,0.000426
2,8,2,128,512,14.484,0.000928
2,8,4,128,512,14.448,0.001861
2,8,8,128,512,14.36,0.003745
2,8,16,128,512,14.501,0.007417
2,8,32,128,512,14.437,0.014898
2,8,64,128,512,14.591,0.029482
2,8,128,128,512,14.895,0.057761
2,8,256,128,512,15.157,0.113527
2,8,512,128,512,17.484,0.196833
2,8,1024,128,512,25.457,0.270376
2,8,2048,128,512,43.724,0.31484
2,8,4096,128,512,85.646,0.321459
2,8,1,128,1024,15.992,0.000841
2,8,2,128,1024,16.051,0.001675
2,8,4,128,1024,15.025,0.003579
2,8,8,128,1024,15.13,0.007108
2,8,16,128,1024,14.941,0.014396
2,8,32,128,1024,14.869,0.028931
2,8,64,128,1024,15.267,0.056354
2,8,128,128,1024,19.539,0.088066
2,8,256,128,1024,21.091,0.163176
2,8,512,128,1024,30.109,0.228601
2,8,1024,128,1024,50.427,0.272989
2,8,2048,128,1024,101.687,0.27075
2,8,4096,128,1024,189.991,0.289823
2,8,1,128,2048,14.855,0.00181
2,8,2,128,2048,14.794,0.003635
2,8,4,128,2048,14.658,0.007337
2,8,8,128,2048,15.353,0.01401
2,8,16,128,2048,14.634,0.029395
2,8,32,128,2048,15.13,0.056863
2,8,64,128,2048,19.181,0.089709
2,8,128,128,2048,32.177,0.106955
2,8,256,128,2048,30.163,0.228193
2,8,512,128,2048,51.478,0.267416
2,8,1024,128,2048,100.36,0.274331
2,8,2048,128,2048,186.482,0.295276
2,8,4096,128,2048,357.505,0.308044
2,8,1,128,4096,17.617,0.003052
2,8,2,128,4096,17.053,0.006307
2,8,4,128,4096,17.41,0.012354
2,8,8,128,4096,17.417,0.024699
2,8,16,128,4096,17.99,0.047826
2,8,32,128,4096,19.279,0.089256
2,8,64,128,4096,34.648,0.099327
2,8,128,128,4096,64.144,0.107305
2,8,256,128,4096,58.05,0.237137
2,8,512,128,4096,105.553,0.260835
2,8,1024,128,4096,191.889,0.286955
2,8,2048,128,4096,374.364,0.294172
2,8,4096,128,4096,697.622,0.315722
2,8,1,256,128,14.107,0.000238
2,8,2,256,128,14.77,0.000455
2,8,4,256,128,14.62,0.00092
2,8,8,256,128,15.334,0.001753
2,8,16,256,128,14.709,0.003656
2,8,32,256,128,14.755,0.007289
2,8,64,256,128,15.456,0.013916
2,8,128,256,128,14.724,0.029216
2,8,256,256,128,14.057,0.061206
2,8,512,256,128,15.775,0.109082
2,8,1024,256,128,16.247,0.211824
2,8,2048,256,128,29.384,0.234243
2,8,4096,256,128,60.436,0.227776
2,8,1,256,256,14.46,0.000465
2,8,2,256,256,14.667,0.000917
2,8,4,256,256,14.664,0.001834
2,8,8,256,256,14.904,0.003608
2,8,16,256,256,14.762,0.007285
2,8,32,256,256,14.723,0.014609
2,8,64,256,256,14.821,0.029025
2,8,128,256,256,15.096,0.056992
2,8,256,256,256,14.809,0.116199
2,8,512,256,256,15.849,0.217145
2,8,1024,256,256,20.529,0.335278
2,8,2048,256,256,33.977,0.405152
2,8,4096,256,256,67.589,0.407344
2,8,1,256,512,14.477,0.000929
2,8,2,256,512,14.793,0.001817
2,8,4,256,512,14.794,0.003635
2,8,8,256,512,15.599,0.006894
2,8,16,256,512,15.012,0.014328
2,8,32,256,512,14.839,0.028991
2,8,64,256,512,15.166,0.056731
2,8,128,256,512,25.133,0.068466
2,8,256,256,512,24.323,0.141492
2,8,512,256,512,22.109,0.311315
2,8,1024,256,512,31.451,0.4377
2,8,2048,256,512,57.662,0.477466
2,8,4096,256,512,100.619,0.54725
2,8,1,256,1024,14.936,0.0018
2,8,2,256,1024,14.688,0.003661
2,8,4,256,1024,15.047,0.007148
2,8,8,256,1024,14.919,0.014418
2,8,16,256,1024,15.22,0.028264
2,8,32,256,1024,14.916,0.057681
2,8,64,256,1024,14.973,0.114924
2,8,128,256,1024,15.213,0.226226
2,8,256,256,1024,27.91,0.246609
2,8,512,256,1024,42.042,0.32743
2,8,1024,256,1024,74.176,0.371171
2,8,2048,256,1024,140.737,0.391253
2,8,4096,256,1024,261.288,0.421479
2,8,1,256,2048,15.229,0.003531
2,8,2,256,2048,15.104,0.00712
2,8,4,256,2048,14.914,0.014422
2,8,8,256,2048,14.971,0.028735
2,8,16,256,2048,15.055,0.05715
2,8,32,256,2048,15.16,0.113505
2,8,64,256,2048,14.991,0.229571
2,8,128,256,2048,25.376,0.271235
2,8,256,256,2048,46.473,0.296214
2,8,512,256,2048,74.487,0.369621
2,8,1024,256,2048,143.965,0.382479
2,8,2048,256,2048,258.077,0.426723
2,8,4096,256,2048,500.255,0.440285
2,8,1,256,4096,28.944,0.003716
2,8,2,256,4096,29.452,0.007303
2,8,4,256,4096,29.706,0.014481
2,8,8,256,4096,31.332,0.027459
2,8,16,256,4096,33.864,0.050813
2,8,32,256,4096,37.909,0.090784
2,8,64,256,4096,42.208,0.163073
2,8,128,256,4096,53.151,0.258996
2,8,256,256,4096,77.457,0.355448
2,8,512,256,4096,143.097,0.384799
2,8,1024,256,4096,268.761,0.409759
2,8,2048,256,4096,522.506,0.421536
2,8,4096,256,4096,1017.782,0.432813
2,8,1,512,128,14.461,0.000465
2,8,2,512,128,15.086,0.000891
2,8,4,512,128,14.401,0.001867
2,8,8,512,128,14.384,0.003739
2,8,16,512,128,14.45,0.007442
2,8,32,512,128,14.047,0.015312
2,8,64,512,128,13.996,0.030737
2,8,128,512,128,14.018,0.061375
2,8,256,512,128,14.569,0.118111
2,8,512,512,128,15.431,0.223022
2,8,1024,512,128,22.168,0.310489
2,8,2048,512,128,44.727,0.307775
2,8,4096,512,128,73.663,0.373755
2,8,1,512,256,14.613,0.00092
2,8,2,512,256,14.095,0.001908
2,8,4,512,256,14.03,0.003833
2,8,8,512,256,14.02,0.007671
2,8,16,512,256,13.95,0.015419
2,8,32,512,256,14.066,0.030583
2,8,64,512,256,14.072,0.061142
2,8,128,512,256,14.252,0.120736
2,8,256,512,256,15.345,0.224266
2,8,512,512,256,23.365,0.294589
2,8,1024,512,256,35.074,0.392485
2,8,2048,512,256,56.583,0.486578
2,8,4096,512,256,95.159,0.578647
2,8,1,512,512,14.559,0.001847
2,8,2,512,512,14.171,0.003795
2,8,4,512,512,14.252,0.007546
2,8,8,512,512,15.217,0.014135
2,8,16,512,512,14.686,0.029293
2,8,32,512,512,14.622,0.05884
2,8,64,512,512,14.43,0.11925
2,8,128,512,512,18.851,0.182561
2,8,256,512,512,22.234,0.309571
2,8,512,512,512,34.687,0.396863
2,8,1024,512,512,58.705,0.468982
2,8,2048,512,512,88.314,0.623496
2,8,4096,512,512,161.453,0.682102
2,8,1,512,1024,15.1,0.003561
2,8,2,512,1024,14.302,0.007519
2,8,4,512,1024,14.248,0.015096
2,8,8,512,1024,14.441,0.02979
2,8,16,512,1024,14.33,0.06004
2,8,32,512,1024,16.661,0.10328
2,8,64,512,1024,19.039,0.18076
2,8,128,512,1024,28.081,0.245111
2,8,256,512,1024,33.571,0.41005
2,8,512,512,1024,57.496,0.478851
2,8,1024,512,1024,97.952,0.562152
2,8,2048,512,1024,158.432,0.695106
2,8,4096,512,1024,305.714,0.720461
2,8,1,512,2048,28.579,0.003763
2,8,2,512,2048,31.934,0.006736
2,8,4,512,2048,31.825,0.013517
2,8,8,512,2048,32.653,0.026349
2,8,16,512,2048,34.543,0.049815
2,8,32,512,2048,36.447,0.094423
2,8,64,512,2048,41.811,0.16462
2,8,128,512,2048,53.639,0.25664
2,8,256,512,2048,64.083,0.429626
2,8,512,512,2048,106.796,0.515595
2,8,1024,512,2048,189.501,0.581143
2,8,2048,512,2048,306.43,0.718777
2,8,4096,512,2048,622.92,0.707168
2,8,1,512,4096,59.522,0.003614
2,8,2,512,4096,62.668,0.006865
2,8,4,512,4096,62.813,0.013697
2,8,8,512,4096,63.85,0.02695
2,8,16,512,4096,65.064,0.052894
2,8,32,512,4096,67.569,0.101865
2,8,64,512,4096,71.832,0.19164
2,8,128,512,4096,110.969,0.248103
2,8,256,512,4096,113.375,0.485678
2,8,512,512,4096,198.344,0.555233
2,8,1024,512,4096,371.779,0.592434
2,8,2048,512,4096,615.622,0.715552
2,8,4096,512,4096,1300.481,0.677456
2,8,1,1024,128,14.176,0.000948
2,8,2,1024,128,14.974,0.001796
2,8,4,1024,128,14.235,0.003777
2,8,8,1024,128,14.306,0.007517
2,8,16,1024,128,14.28,0.015062
2,8,32,1024,128,14.606,0.029453
2,8,64,1024,128,14.729,0.058412
2,8,128,1024,128,14.654,0.117421
2,8,256,1024,128,15.409,0.223338
2,8,512,1024,128,28.97,0.237593
2,8,1024,1024,128,52.172,0.263854
2,8,2048,1024,128,77.445,0.355503
2,8,4096,1024,128,132.561,0.415383
2,8,1,1024,256,14.314,0.001878
2,8,2,1024,256,14.238,0.003777
2,8,4,1024,256,14.275,0.007534
2,8,8,1024,256,14.182,0.015167
2,8,16,1024,256,14.192,0.030313
2,8,32,1024,256,15.06,0.057129
2,8,64,1024,256,14.296,0.120362
2,8,128,1024,256,18.473,0.186298
2,8,256,1024,256,29.043,0.236988
2,8,512,1024,256,45.298,0.303896
2,8,1024,1024,256,63.238,0.435366
2,8,2048,1024,256,102.367,0.537904
2,8,4096,1024,256,183.086,0.601506
2,8,1,1024,512,18.914,0.002843
2,8,2,1024,512,16.612,0.006474
2,8,4,1024,512,16.624,0.012939
2,8,8,1024,512,16.619,0.025885
2,8,16,1024,512,16.543,0.052008
2,8,32,1024,512,17.113,0.100549
2,8,64,1024,512,18.416,0.186871
2,8,128,1024,512,33.632,0.204654
2,8,256,1024,512,44.467,0.309579
2,8,512,1024,512,72.707,0.378668
2,8,1024,1024,512,93.656,0.587937
2,8,2048,1024,512,173.734,0.633884
2,8,4096,1024,512,285.738,0.770826
2,8,1,1024,1024,26.008,0.004135
2,8,2,1024,1024,30.145,0.007135
2,8,4,1024,1024,30.404,0.014149
2,8,8,1024,1024,30.98,0.027772
2,8,16,1024,1024,32.76,0.052526
2,8,32,1024,1024,37.365,0.092103
2,8,64,1024,1024,42.448,0.16215
2,8,128,1024,1024,50.979,0.270032
2,8,256,1024,1024,60.074,0.458297
2,8,512,1024,1024,87.535,0.629044
2,8,1024,1024,1024,155.199,0.709586
2,8,2048,1024,1024,287.422,0.766312
2,8,4096,1024,1024,574.479,0.766799
2,8,1,1024,2048,61.996,0.003469
2,8,2,1024,2048,59.701,0.007206
2,8,4,1024,2048,61.774,0.013928
2,8,8,1024,2048,62.002,0.027753
2,8,16,1024,2048,63.241,0.054419
2,8,32,1024,2048,64.476,0.106752
2,8,64,1024,2048,68.33,0.201462
2,8,128,1024,2048,86.732,0.317435
2,8,256,1024,2048,93.499,0.588921
2,8,512,1024,2048,153.83,0.715905
2,8,1024,1024,2048,287.017,0.767392
2,8,2048,1024,2048,569.524,0.773469
2,8,4096,1024,2048,1192.31,0.738918
2,8,1,1024,4096,106.258,0.004048
2,8,2,1024,4096,110.033,0.007819
2,8,4,1024,4096,110.012,0.015641
2,8,8,1024,4096,111.403,0.030892
2,8,16,1024,4096,113.383,0.060705
2,8,32,1024,4096,115.691,0.118988
2,8,64,1024,4096,118.636,0.232071
2,8,128,1024,4096,159.555,0.345107
2,8,256,1024,4096,170.206,0.647024
2,8,512,1024,4096,290.039,0.759396
2,8,1024,1024,4096,564.735,0.780028
2,8,2048,1024,4096,1207.175,0.729819
2,8,4096,1024,4096,2424.207,0.726851
2,8,1,2048,128,15.128,0.001777
2,8,2,2048,128,15.614,0.003444
2,8,4,2048,128,15.621,0.006885
2,8,8,2048,128,15.627,0.013764
2,8,16,2048,128,15.658,0.027474
2,8,32,2048,128,15.763,0.054582
2,8,64,2048,128,15.867,0.108446
2,8,128,2048,128,16.811,0.204717
2,8,256,2048,128,23.403,0.294108
2,8,512,2048,128,53.212,0.258698
2,8,1024,2048,128,87.338,0.315234
2,8,2048,2048,128,135.885,0.405224
2,8,4096,2048,128,238.918,0.460942
2,8,1,2048,256,14.82,0.003628
2,8,2,2048,256,14.789,0.007272
2,8,4,2048,256,14.759,0.014573
2,8,8,2048,256,14.847,0.028975
2,8,16,2048,256,15.072,0.057083
2,8,32,2048,256,14.808,0.1162
2,8,64,2048,256,15.531,0.221582
2,8,128,2048,256,32.451,0.212101
2,8,256,2048,256,45.621,0.301748
2,8,512,2048,256,65.086,0.423009
2,8,1024,2048,256,102.617,0.536594
2,8,2048,2048,256,186.727,0.589776
2,8,4096,2048,256,316.44,0.696039
2,8,1,2048,512,32.037,0.003357
2,8,2,2048,512,32.296,0.00666
2,8,4,2048,512,32.594,0.013198
2,8,8,2048,512,33.429,0.025738
2,8,16,2048,512,36.339,0.047352
2,8,32,2048,512,37.994,0.09058
2,8,64,2048,512,41.077,0.167564
2,8,128,2048,512,49.339,0.279006
2,8,256,2048,512,64.176,0.429005
2,8,512,2048,512,102.532,0.537041
2,8,1024,2048,512,152.459,0.722339
2,8,2048,2048,512,279.422,0.788251
2,8,4096,2048,512,533.613,0.825522
2,8,1,2048,1024,58.003,0.003708
2,8,2,2048,1024,62.618,0.00687
2,8,4,2048,1024,62.85,0.013689
2,8,8,2048,1024,62.934,0.027342
2,8,16,2048,1024,63.875,0.053878
2,8,32,2048,1024,65.769,0.104653
2,8,64,2048,1024,69.867,0.197031
2,8,128,2048,1024,87.557,0.314444
2,8,256,2048,1024,100.108,0.550043
2,8,512,2048,1024,150.582,0.731342
2,8,1024,2048,1024,288.666,0.76301
2,8,2048,2048,1024,542.254,0.812368
2,8,4096,2048,1024,1142.781,0.770943
2,8,1,2048,2048,114.482,0.003758
2,8,2,2048,2048,113.637,0.007571
2,8,4,2048,2048,114.358,0.015047
2,8,8,2048,2048,114.652,0.030017
2,8,16,2048,2048,115.743,0.059468
2,8,32,2048,2048,116.475,0.118187
2,8,64,2048,2048,120.509,0.228464
2,8,128,2048,2048,156.35,0.352182
2,8,256,2048,2048,161.43,0.682197
2,8,512,2048,2048,282.518,0.779612
2,8,1024,2048,2048,536.435,0.821179
2,8,2048,2048,2048,1139.375,0.773248
2,8,4096,2048,2048,2334.786,0.754689
2,8,1,2048,4096,195.724,0.004396
2,8,2,2048,4096,214.169,0.008034
2,8,4,2048,4096,212.455,0.016199
2,8,8,2048,4096,212.696,0.032361
2,8,16,2048,4096,215.333,0.063929
2,8,32,2048,4096,218.697,0.125891
2,8,64,2048,4096,226.012,0.243632
2,8,128,2048,4096,292.03,0.37711
2,8,256,2048,4096,324.315,0.679138
2,8,512,2048,4096,542.799,0.811552
2,8,1024,2048,4096,1171.705,0.751912
2,8,2048,2048,4096,2333.016,0.755262
2,8,4096,2048,4096,4650.18,0.757836
2,8,1,4096,128,23.71,0.002268
2,8,2,4096,128,24.475,0.004394
2,8,4,4096,128,24.072,0.008935
2,8,8,4096,128,23.943,0.017967
2,8,16,4096,128,23.955,0.035916
2,8,32,4096,128,24.109,0.071373
2,8,64,4096,128,24.652,0.139602
2,8,128,4096,128,33.45,0.20577
2,8,256,4096,128,49.01,0.28088
2,8,512,4096,128,93.337,0.294971
2,8,1024,4096,128,158.6,0.347185
2,8,2048,4096,128,248.854,0.442538
2,8,4096,4096,128,449.503,0.489997
2,8,1,4096,256,26.957,0.00399
2,8,2,4096,256,27.456,0.007834
2,8,4,4096,256,28.002,0.015363
2,8,8,4096,256,30.359,0.02834
2,8,16,4096,256,32.223,0.0534
2,8,32,4096,256,34.722,0.099115
2,8,64,4096,256,38.357,0.179445
2,8,128,4096,256,55.875,0.24637
2,8,256,4096,256,77.806,0.353853
2,8,512,4096,256,117.543,0.468457
2,8,1024,4096,256,186.027,0.591998
2,8,2048,4096,256,350.65,0.628133
2,8,4096,4096,256,610.996,0.720969
2,8,1,4096,512,64.328,0.003344
2,8,2,4096,512,64.485,0.006671
2,8,4,4096,512,64.715,0.013295
2,8,8,4096,512,64.984,0.02648
2,8,16,4096,512,65.972,0.052166
2,8,32,4096,512,67.844,0.101453
2,8,64,4096,512,71.07,0.193695
2,8,128,4096,512,86.714,0.317503
2,8,256,4096,512,119.889,0.459289
2,8,512,4096,512,194.41,0.56647
2,8,1024,4096,512,288.544,0.763333
2,8,2048,4096,512,565.148,0.779458
2,8,4096,4096,512,1139.557,0.773124
2,8,1,4096,1024,108.49,0.003965
2,8,2,4096,1024,110.179,0.007809
2,8,4,4096,1024,110.557,0.015564
2,8,8,4096,1024,109.896,0.031316
2,8,16,4096,1024,110.364,0.062366
2,8,32,4096,1024,112.455,0.122413
2,8,64,4096,1024,120.826,0.227863
2,8,128,4096,1024,146.398,0.376122
2,8,256,4096,1024,176.36,0.624446
2,8,512,4096,1024,278.183,0.791763
2,8,1024,4096,1024,550.228,0.800594
2,8,2048,4096,1024,1139.812,0.772951
2,8,4096,4096,1024,2305.697,0.764211
2,8,1,4096,2048,218.835,0.003932
2,8,2,4096,2048,205.234,0.008384
2,8,4,4096,2048,204.687,0.016813
2,8,8,4096,2048,205.609,0.033476
2,8,16,4096,2048,205.941,0.066844
2,8,32,4096,2048,209.938,0.131143
2,8,64,4096,2048,215.074,0.256022
2,8,128,4096,2048,309.638,0.355665
2,8,256,4096,2048,286.526,0.768707
2,8,512,4096,2048,556.671,0.791328
2,8,1024,4096,2048,1137.281,0.774671
2,8,2048,4096,2048,2303.206,0.765037
2,8,4096,4096,2048,4586.072,0.76843
2,8,1,4096,4096,381.038,0.004516
2,8,2,4096,4096,394.236,0.008729
2,8,4,4096,4096,393.576,0.017488
2,8,8,4096,4096,396.885,0.034685
2,8,16,4096,4096,398.589,0.069073
2,8,32,4096,4096,405.169,0.135903
2,8,64,4096,4096,416.742,0.264258
2,8,128,4096,4096,688.012,0.320132
2,8,256,4096,4096,595.618,0.739584
2,8,512,4096,4096,1150.553,0.765735
2,8,1024,4096,4096,2335.306,0.754521
2,8,2048,4096,4096,4574.644,0.77035
2,8,4096,4096,4096,9271.317,0.76021
2,16,1,128,128,15.018,0.000224
2,16,2,128,128,14.782,0.000455
2,16,4,128,128,14.519,0.000926
2,16,8,128,128,14.451,0.001861
2,16,16,128,128,14.558,0.003694
2,16,32,128,128,15.616,0.006887
2,16,64,128,128,14.438,0.014898
2,16,128,128,128,14.55,0.029566
2,16,256,128,128,14.336,0.060014
2,16,512,128,128,16.064,0.107118
2,16,1024,128,128,19.885,0.173067
2,16,2048,128,128,31.99,0.215159
2,16,4096,128,128,68.106,0.202126
2,16,1,128,256,15.001,0.000448
2,16,2,128,256,14.971,0.000898
2,16,4,128,256,14.889,0.001806
2,16,8,128,256,14.918,0.003605
2,16,16,128,256,14.951,0.007193
2,16,32,128,256,15.1,0.014245
2,16,64,128,256,14.78,0.029105
2,16,128,128,256,14.869,0.057865
2,16,256,128,256,15.464,0.111274
2,16,512,128,256,18.171,0.18939
2,16,1024,128,256,26.434,0.260381
2,16,2048,128,256,55.66,0.247322
2,16,4096,128,256,99.438,0.276875
2,16,1,128,512,14.702,0.000914
2,16,2,128,512,14.472,0.001858
2,16,4,128,512,14.563,0.003692
2,16,8,128,512,14.524,0.007405
2,16,16,128,512,15.07,0.014273
2,16,32,128,512,14.83,0.029007
2,16,64,128,512,15.443,0.055713
2,16,128,128,512,20.017,0.085964
2,16,256,128,512,17.269,0.199281
2,16,512,128,512,25.288,0.272181
2,16,1024,128,512,45.644,0.301591
2,16,2048,128,512,86.848,0.317013
2,16,4096,128,512,158.467,0.347477
2,16,1,128,1024,14.97,0.001796
2,16,2,128,1024,14.866,0.003617
2,16,4,128,1024,16.093,0.006683
2,16,8,128,1024,15.081,0.014263
2,16,16,128,1024,15.149,0.028396
2,16,32,128,1024,15.389,0.055908
2,16,64,128,1024,19.56,0.087973
2,16,128,128,1024,32.643,0.105427
2,16,256,128,1024,30.326,0.226966
2,16,512,128,1024,54.85,0.250973
2,16,1024,128,1024,105.525,0.260903
2,16,2048,128,1024,191.925,0.286902
2,16,4096,128,1024,367.678,0.299521
2,16,1,128,2048,17.539,0.003066
2,16,2,128,2048,17.007,0.006324
2,16,4,128,2048,17.789,0.012091
2,16,8,128,2048,17.379,0.024753
2,16,16,128,2048,17.993,0.047817
2,16,32,128,2048,19.866,0.086618
2,16,64,128,2048,35.201,0.097767
2,16,128,128,2048,63.385,0.10859
2,16,256,128,2048,59.574,0.231072
2,16,512,128,2048,106.545,0.258406
2,16,1024,128,2048,193.919,0.283952
2,16,2048,128,2048,359.586,0.306261
2,16,4096,128,2048,700.379,0.314479
2,16,1,128,4096,34.745,0.003095
2,16,2,128,4096,35.716,0.006022
2,16,4,128,4096,36.422,0.011811
2,16,8,128,4096,37.065,0.023212
2,16,16,128,4096,38.017,0.045263
2,16,32,128,4096,39.551,0.087013
2,16,64,128,4096,64.201,0.10721
2,16,128,128,4096,120.295,0.114435
2,16,256,128,4096,112.296,0.245173
2,16,512,128,4096,197.455,0.278866
2,16,1024,128,4096,376.951,0.292153
2,16,2048,128,4096,731.099,0.301265
2,16,4096,128,4096,1392.976,0.316236
2,16,1,256,128,14.028,0.000479
2,16,2,256,128,15.24,0.000882
2,16,4,256,128,15.1,0.001781
2,16,8,256,128,15.604,0.003446
2,16,16,256,128,14.796,0.007268
2,16,32,256,128,15.327,0.014034
2,16,64,256,128,14.79,0.029086
2,16,128,256,128,14.986,0.057411
2,16,256,256,128,14.348,0.119931
2,16,512,256,128,16.493,0.208662
2,16,1024,256,128,21.475,0.320507
2,16,2048,256,128,53.6,0.256825
2,16,4096,256,128,91.936,0.299469
2,16,1,256,256,14.621,0.000919
2,16,2,256,256,14.715,0.001827
2,16,4,256,256,14.784,0.003637
2,16,8,256,256,14.788,0.007273
2,16,16,256,256,14.973,0.014366
2,16,32,256,256,14.725,0.029215
2,16,64,256,256,14.972,0.057465
2,16,128,256,256,18.745,0.091795
2,16,256,256,256,16.171,0.212816
2,16,512,256,256,20.887,0.329532
2,16,1024,256,256,38.998,0.352989
2,16,2048,256,256,69.344,0.397034
2,16,4096,256,256,121.571,0.452933
2,16,1,256,512,15.243,0.001764
2,16,2,256,512,15.532,0.003462
2,16,4,256,512,15.87,0.006777
2,16,8,256,512,15.483,0.013892
2,16,16,256,512,15.464,0.027819
2,16,32,256,512,15.504,0.055494
2,16,64,256,512,18.575,0.092638
2,16,128,256,512,32.149,0.107049
2,16,256,256,512,20.595,0.334201
2,16,512,256,512,34.774,0.395864
2,16,1024,256,512,61.48,0.44782
2,16,2048,256,512,103.106,0.534047
2,16,4096,256,512,192.279,0.572748
2,16,1,256,1024,14.989,0.003587
2,16,2,256,1024,15.077,0.007133
2,16,4,256,1024,15.122,0.014223
2,16,8,256,1024,15.245,0.028218
2,16,16,256,1024,14.995,0.057379
2,16,32,256,1024,15.193,0.113262
2,16,64,256,1024,15.291,0.225061
2,16,128,256,1024,24.159,0.284901
2,16,256,256,1024,49.101,0.280357
2,16,512,256,1024,76.515,0.359824
2,16,1024,256,1024,143.694,0.3832
2,16,2048,256,1024,265.854,0.41424
2,16,4096,256,1024,520.562,0.423109
2,16,1,256,2048,29.376,0.003661
2,16,2,256,2048,29.42,0.007311
2,16,4,256,2048,30.034,0.014323
2,16,8,256,2048,32.11,0.026794
2,16,16,256,2048,34.791,0.049459
2,16,32,256,2048,38.733,0.088852
2,16,64,256,2048,43.153,0.159501
2,16,128,256,2048,54.53,0.252447
2,16,256,256,2048,79.435,0.346596
2,16,512,256,2048,145.442,0.378596
2,16,1024,256,2048,272.03,0.404835
2,16,2048,256,2048,508.556,0.433098
2,16,4096,256,2048,1021.909,0.431065
2,16,1,256,4096,59.897,0.003591
2,16,2,256,4096,60.054,0.007163
2,16,4,256,4096,61.155,0.014069
2,16,8,256,4096,62.426,0.027564
2,16,16,256,4096,64.583,0.053288
2,16,32,256,4096,67.662,0.101726
2,16,64,256,4096,73.997,0.186034
2,16,128,256,4096,95.31,0.288865
2,16,256,256,4096,152.32,0.3615
2,16,512,256,4096,274.691,0.400914
2,16,1024,256,4096,540.018,0.407866
2,16,2048,256,4096,1062.306,0.414673
2,16,4096,256,4096,2069.532,0.425709
2,16,1,512,128,14.522,0.000926
2,16,2,512,128,14.544,0.001849
2,16,4,512,128,14.643,0.003672
2,16,8,512,128,15.297,0.00703
2,16,16,512,128,14.537,0.014797
2,16,32,512,128,14.587,0.02949
2,16,64,512,128,15.345,0.056069
2,16,128,512,128,15.085,0.114072
2,16,256,512,128,15.766,0.218291
2,16,512,512,128,24.074,0.285908
2,16,1024,512,128,46.46,0.296294
2,16,2048,512,128,75.804,0.363199
2,16,4096,512,128,137.508,0.400439
2,16,1,512,256,15.54,0.00173
2,16,2,512,256,15.488,0.003472
2,16,4,512,256,15.495,0.006941
2,16,8,512,256,15.414,0.013954
2,16,16,512,256,15.472,0.027805
2,16,32,512,256,15.437,0.055733
2,16,64,512,256,15.57,0.110518
2,16,128,512,256,15.013,0.229231
2,16,256,512,256,22.939,0.300056
2,16,512,512,256,36.99,0.372155
2,16,1024,512,256,59.623,0.461767
2,16,2048,512,256,97.7,0.5636
2,16,4096,512,256,173.434,0.634983
2,16,1,512,512,15.165,0.003546
2,16,2,512,512,16.987,0.006331
2,16,4,512,512,14.908,0.014428
2,16,8,512,512,15.009,0.028661
2,16,16,512,512,15.823,0.054375
2,16,32,512,512,16.733,0.102837
2,16,64,512,512,19.058,0.180576
2,16,128,512,512,22.654,0.303824
2,16,256,512,512,36.457,0.377592
2,16,512,512,512,54.207,0.507904
2,16,1024,512,512,91.272,0.603289
2,16,2048,512,512,163.189,0.674847
2,16,4096,512,512,312.013,0.705915
2,16,1,512,1024,28.138,0.003822
2,16,2,512,1024,31.897,0.006743
2,16,4,512,1024,32.239,0.013343
2,16,8,512,1024,33.371,0.025782
2,16,16,512,1024,34.899,0.049306
2,16,32,512,1024,38.278,0.089908
2,16,64,512,1024,42.741,0.161038
2,16,128,512,1024,46.603,0.295387
2,16,256,512,1024,58.808,0.468165
2,16,512,512,1024,94.021,0.585655
2,16,1024,512,1024,163.208,0.674768
2,16,2048,512,1024,311.624,0.706796
2,16,4096,512,1024,647.061,0.680786
2,16,1,512,2048,59.843,0.003594
2,16,2,512,2048,63.13,0.006814
2,16,4,512,2048,64.298,0.013381
2,16,8,512,2048,64.266,0.026775
2,16,16,512,2048,65.496,0.052545
2,16,32,512,2048,68.198,0.100927
2,16,64,512,2048,72.138,0.190827
2,16,128,512,2048,77.229,0.356498
2,16,256,512,2048,106.501,0.517025
2,16,512,512,2048,169.819,0.6485
2,16,1024,512,2048,319.922,0.688464
2,16,2048,512,2048,634.725,0.694016
2,16,4096,512,2048,1327.18,0.663828
2,16,1,512,4096,107.798,0.003991
2,16,2,512,4096,113.454,0.007583
2,16,4,512,4096,113.878,0.01511
2,16,8,512,4096,116.006,0.029666
2,16,16,512,4096,116.309,0.059178
2,16,32,512,4096,121.421,0.113373
2,16,64,512,4096,128.2,0.214757
2,16,128,512,4096,137.464,0.400567
2,16,256,512,4096,178.322,0.617574
2,16,512,512,4096,317.875,0.692897
2,16,1024,512,4096,631.39,0.697682
2,16,2048,512,4096,1328.986,0.662925
2,16,4096,512,4096,2629.901,0.670001
2,16,1,1024,128,15.867,0.001695
2,16,2,1024,128,15.351,0.003503
2,16,4,1024,128,15.071,0.007136
2,16,8,1024,128,15.19,0.01416
2,16,16,1024,128,15.163,0.02837
2,16,32,1024,128,15.111,0.056937
2,16,64,1024,128,15.276,0.112645
2,16,128,1024,128,15.327,0.224533
2,16,256,1024,128,23.792,0.2893
2,16,512,1024,128,54.813,0.251143
2,16,1024,1024,128,78.03,0.352835
2,16,2048,1024,128,133.88,0.411291
2,16,4096,1024,128,250.63,0.439402
