b1,b2,m,k,n,latency_us,mfu
1,8,2048,256,2048,135.023,0.407808
1,8,4096,256,2048,251.48,0.437917
1,8,1,256,4096,15.979,0.003365
1,8,2,256,4096,16.997,0.006327
1,8,4,256,4096,17.101,0.012578
1,8,8,256,4096,17.299,0.024868
1,8,16,256,4096,17.787,0.04837
1,8,32,256,4096,18.76,0.091725
1,8,64,256,4096,33.886,0.10156
1,8,128,256,4096,62.254,0.110563
1,8,256,256,4096,95.247,0.144528
1,8,512,256,4096,180.816,0.152264
1,8,1024,256,4096,139.621,0.394379
1,8,2048,256,4096,263.98,0.417181
1,8,4096,256,4096,501.377,0.4393
1,8,1,512,128,14.475,0.000232
1,8,2,512,128,14.503,0.000463
1,8,4,512,128,14.38,0.000935
1,8,8,512,128,14.521,0.001852
1,8,16,512,128,14.488,0.003712
1,8,32,512,128,14.498,0.007418
1,8,64,512,128,14.814,0.014519
1,8,128,512,128,14.595,0.029474
1,8,256,512,128,15.271,0.056339
1,8,512,512,128,15.234,0.112954
1,8,1024,512,128,16.376,0.210156
1,8,2048,512,128,22.013,0.312681
1,8,4096,512,128,43.67,0.315227
1,8,1,512,256,14.43,0.000466
1,8,2,512,256,14.995,0.000897
1,8,4,512,256,14.96,0.001797
1,8,8,512,256,15.017,0.003581
1,8,16,512,256,14.861,0.007237
1,8,32,512,256,14.948,0.01439
1,8,64,512,256,14.879,0.028913
1,8,128,512,256,14.577,0.059021
1,8,256,512,256,14.863,0.115775
1,8,512,512,256,15.79,0.21795
1,8,1024,512,256,20.85,0.330119
1,8,2048,512,256,30.547,0.450653
1,8,4096,512,256,54.574,0.504483
1,8,1,512,512,14.495,0.000927
1,8,2,512,512,14.356,0.001873
1,8,4,512,512,14.445,0.003722
1,8,8,512,512,14.419,0.007459
1,8,16,512,512,14.488,0.014846
1,8,32,512,512,14.414,0.029845
1,8,64,512,512,14.656,0.058703
1,8,128,512,512,14.522,0.118489
1,8,256,512,512,15.628,0.220207
1,8,512,512,512,21.724,0.316833
1,8,1024,512,512,34.596,0.397902
1,8,2048,512,512,48.33,0.569659
1,8,4096,512,512,86.977,0.63308
1,8,1,512,1024,14.746,0.001823
1,8,2,512,1024,14.776,0.003639
1,8,4,512,1024,14.737,0.007298
1,8,8,512,1024,14.635,0.014697
1,8,16,512,1024,14.596,0.029473
1,8,32,512,1024,14.703,0.058518
1,8,64,512,1024,14.738,0.116758
1,8,128,512,1024,18.759,0.183454
1,8,256,512,1024,22.192,0.310157
1,8,512,512,1024,33.298,0.413421
1,8,1024,512,1024,55.33,0.497589
1,8,2048,512,1024,85.522,0.643856
1,8,4096,512,1024,156.391,0.704182
1,8,1,512,2048,15.851,0.003392
1,8,2,512,2048,14.767,0.007283
1,8,4,512,2048,14.88,0.014455
1,8,8,512,2048,15.244,0.028221
1,8,16,512,2048,15.352,0.056043
1,8,32,512,2048,17.222,0.099914
1,8,64,512,2048,19.124,0.179953
1,8,128,512,2048,28.315,0.243084
1,8,256,512,2048,32.828,0.419335
1,8,512,512,2048,56.702,0.485553
1,8,1024,512,2048,98.334,0.559966
1,8,2048,512,2048,154.023,0.715004
1,8,4096,512,2048,293.928,0.74935
1,8,1,512,4096,27.603,0.003896
1,8,2,512,4096,30.731,0.006999
1,8,4,512,4096,31.198,0.013789
1,8,8,512,4096,31.881,0.026987
1,8,16,512,4096,33.375,0.051557
1,8,32,512,4096,35.166,0.097865
1,8,64,512,4096,39.431,0.174558
1,8,128,512,4096,52.033,0.264562
1,8,256,512,4096,59.016,0.466514
1,8,512,512,4096,99.893,0.551226
1,8,1024,512,4096,182.377,0.603845
1,8,2048,512,4096,296.016,0.744065
1,8,4096,512,4096,574.146,0.767243
1,8,1,1024,128,15.035,0.000447
1,8,2,1024,128,15.018,0.000895
1,8,4,1024,128,14.962,0.001797
1,8,8,1024,128,15.028,0.003578
1,8,16,1024,128,15.023,0.007159
1,8,32,1024,128,14.89,0.014446
1,8,64,1024,128,14.56,0.029545
1,8,128,1024,128,14.592,0.058961
1,8,256,1024,128,15.291,0.11253
1,8,512,1024,128,15.114,0.227706
1,8,1024,1024,128,25.177,0.273379
1,8,2048,1024,128,47.216,0.291554
1,8,4096,1024,128,72.28,0.380907
1,8,1,1024,256,15.101,0.00089
1,8,2,1024,256,15.105,0.00178
1,8,4,1024,256,15.037,0.003576
1,8,8,1024,256,14.909,0.007213
1,8,16,1024,256,14.586,0.014747
1,8,32,1024,256,14.724,0.029217
1,8,64,1024,256,14.543,0.059162
1,8,128,1024,256,14.6,0.117861
1,8,256,1024,256,15.401,0.223452
1,8,512,1024,256,24.602,0.279778
1,8,1024,1024,256,37.743,0.36473
1,8,2048,1024,256,55.832,0.493118
1,8,4096,1024,256,91.718,0.600356
1,8,1,1024,512,14.636,0.001837
1,8,2,1024,512,14.533,0.0037
1,8,4,1024,512,14.657,0.007337
1,8,8,1024,512,14.726,0.014606
1,8,16,1024,512,14.514,0.029638
1,8,32,1024,512,14.607,0.058901
1,8,64,1024,512,14.837,0.115974
1,8,128,1024,512,15.436,0.222958
1,8,256,1024,512,24.143,0.285091
1,8,512,1024,512,36.595,0.376166
1,8,1024,1024,512,60.09,0.458176
1,8,2048,1024,512,83.903,0.656279
1,8,4096,1024,512,151.009,0.729277
1,8,1,1024,1024,14.874,0.003615
1,8,2,1024,1024,14.501,0.007416
1,8,4,1024,1024,14.464,0.014871
1,8,8,1024,1024,14.415,0.029843
1,8,16,1024,1024,14.395,0.059769
1,8,32,1024,1024,14.714,0.116946
1,8,64,1024,1024,15.618,0.220357
1,8,128,1024,1024,28.204,0.244045
1,8,256,1024,1024,36.859,0.373471
1,8,512,1024,1024,60.528,0.454864
1,8,1024,1024,1024,113.227,0.486313
1,8,2048,1024,1024,146.846,0.749951
1,8,4096,1024,1024,274.994,0.800945
1,8,1,1024,2048,26.462,0.004064
1,8,2,1024,2048,29.361,0.007326
1,8,4,1024,2048,29.662,0.014503
1,8,8,1024,2048,30.761,0.027969
1,8,16,1024,2048,31.559,0.054525
1,8,32,1024,2048,33.353,0.103183
1,8,64,1024,2048,38.32,0.179618
1,8,128,1024,2048,47.076,0.292417
1,8,256,1024,2048,60.731,0.453344
1,8,512,1024,2048,114.05,0.482805
1,8,1024,1024,2048,213.513,0.515788
1,8,2048,1024,2048,272.601,0.807974
1,8,4096,1024,2048,535.911,0.821982
1,8,1,1024,4096,62.129,0.003462
1,8,2,1024,4096,60.045,0.007164
1,8,4,1024,4096,60.541,0.014211
1,8,8,1024,4096,61.206,0.028114
1,8,16,1024,4096,62.152,0.055372
1,8,32,1024,4096,63.817,0.107855
1,8,64,1024,4096,67.869,0.202829
1,8,128,1024,4096,82.838,0.332359
1,8,256,1024,4096,122.415,0.449811
1,8,512,1024,4096,227.505,0.484066
1,8,1024,1024,4096,430.684,0.511407
1,8,2048,1024,4096,556.293,0.791866
1,8,4096,1024,4096,1092.854,0.806164
1,8,1,2048,128,14.796,0.000909
1,8,2,2048,128,15.252,0.001763
1,8,4,2048,128,15.195,0.003539
1,8,8,2048,128,15.27,0.007043
1,8,16,2048,128,15.21,0.014141
1,8,32,2048,128,15.137,0.028419
1,8,64,2048,128,15.311,0.056192
1,8,128,2048,128,15.284,0.112587
1,8,256,2048,128,21.696,0.158623
1,8,512,2048,128,22.145,0.310816
1,8,1024,2048,128,50.326,0.273534
1,8,2048,2048,128,83.765,0.328678
1,8,4096,2048,128,131.463,0.418852
1,8,1,2048,256,14.683,0.001831
1,8,2,2048,256,14.77,0.003641
1,8,4,2048,256,14.911,0.007213
1,8,8,2048,256,15.182,0.014168
1,8,16,2048,256,14.788,0.029091
1,8,32,2048,256,14.834,0.057998
1,8,64,2048,256,14.741,0.116735
1,8,128,2048,256,15.254,0.225611
1,8,256,2048,256,20.719,0.3322
1,8,512,2048,256,42.531,0.323667
1,8,1024,2048,256,68.63,0.401162
1,8,2048,2048,256,98.704,0.557868
1,8,4096,2048,256,180.286,0.610849
1,8,1,2048,512,14.743,0.003647
1,8,2,2048,512,15.075,0.007134
1,8,4,2048,512,15.256,0.014099
1,8,8,2048,512,14.752,0.029162
1,8,16,2048,512,14.989,0.057398
1,8,32,2048,512,14.792,0.116329
1,8,64,2048,512,14.853,0.231707
1,8,128,2048,512,24.174,0.28472
1,8,256,2048,512,41.222,0.333942
1,8,512,2048,512,62.777,0.438563
1,8,1024,2048,512,101.236,0.543915
1,8,2048,2048,512,145.217,0.758362
1,8,4096,2048,512,275.424,0.799694
1,8,1,2048,1024,24.035,0.004474
1,8,2,2048,1024,26.55,0.008101
1,8,4,2048,1024,27.026,0.015918
1,8,8,2048,1024,27.451,0.031342
1,8,16,2048,1024,28.529,0.060316
1,8,32,2048,1024,31.094,0.110678
1,8,64,2048,1024,34.376,0.200224
1,8,128,2048,1024,48.37,0.284599
1,8,256,2048,1024,64.234,0.428616
1,8,512,2048,1024,102.858,0.53534
1,8,1024,2048,1024,193.717,0.568497
1,8,2048,2048,1024,272.851,0.807233
1,8,4096,2048,1024,534.818,0.823662
1,8,1,2048,2048,57.471,0.003743
1,8,2,2048,2048,62.753,0.006855
1,8,4,2048,2048,62.725,0.013716
1,8,8,2048,2048,63.235,0.027212
1,8,16,2048,2048,64.077,0.053709
1,8,32,2048,2048,65.805,0.104596
1,8,64,2048,2048,71.028,0.193809
1,8,128,2048,2048,81.395,0.338252
1,8,256,2048,2048,107.907,0.510287
1,8,512,2048,2048,203.019,0.542449
1,8,1024,2048,2048,384.55,0.57276
1,8,2048,2048,2048,535.447,0.822695
1,8,4096,2048,2048,1101.221,0.800038
1,8,1,2048,4096,115.871,0.003713
1,8,2,2048,4096,106.75,0.00806
1,8,4,2048,4096,106.567,0.016147
1,8,8,2048,4096,107.104,0.032132
1,8,16,2048,4096,108.04,0.063707
1,8,32,2048,4096,110.144,0.124981
1,8,64,2048,4096,115.498,0.238375
1,8,128,2048,4096,136.55,0.403249
1,8,256,2048,4096,201.422,0.546748
1,8,512,2048,4096,376.358,0.585226
1,8,1024,2048,4096,729.417,0.60392
1,8,2048,2048,4096,1097.53,0.802729
1,8,4096,2048,4096,2159.316,0.816017
1,8,1,4096,128,20.146,0.001335
1,8,2,4096,128,23.575,0.002281
1,8,4,4096,128,23.566,0.004564
1,8,8,4096,128,23.839,0.009023
1,8,16,4096,128,23.56,0.01826
1,8,32,4096,128,23.63,0.03641
1,8,64,4096,128,23.734,0.072501
1,8,128,4096,128,23.916,0.143896
1,8,256,4096,128,37.464,0.183721
1,8,512,4096,128,44.716,0.30785
1,8,1024,4096,128,89.612,0.307235
1,8,2048,4096,128,153.564,0.358572
1,8,4096,4096,128,245.861,0.447926
1,8,1,4096,256,23.647,0.002274
1,8,2,4096,256,23.578,0.004561
1,8,4,4096,256,23.578,0.009123
1,8,8,4096,256,23.617,0.018215
1,8,16,4096,256,24.888,0.03457
1,8,32,4096,256,23.707,0.072583
1,8,64,4096,256,23.804,0.144574
1,8,128,4096,256,26.678,0.257997
1,8,256,4096,256,40.738,0.337913
1,8,512,4096,256,84.078,0.327455
1,8,1024,4096,256,258.072,0.213365
1,8,2048,4096,256,190.761,0.577304
1,8,4096,4096,256,360.18,0.611513
1,8,1,4096,512,26.92,0.003995
1,8,2,4096,512,27.804,0.007736
1,8,4,4096,512,27.901,0.015418
1,8,8,4096,512,28.287,0.030416
1,8,16,4096,512,31.061,0.055399
1,8,32,4096,512,32.628,0.105477
1,8,64,4096,512,34.318,0.200562
1,8,128,4096,512,42.064,0.327261
1,8,256,4096,512,74.546,0.369329
1,8,512,4096,512,110.916,0.496447
1,8,1024,4096,512,183.716,0.599442
1,8,2048,4096,512,274.866,0.801317
1,8,4096,4096,512,556.225,0.791963
1,8,1,4096,1024,53.774,0.004
1,8,2,4096,1024,57.468,0.007486
1,8,4,4096,1024,57.754,0.014897
1,8,8,4096,1024,58.149,0.029592
1,8,16,4096,1024,58.843,0.058486
1,8,32,4096,1024,60.742,0.113314
1,8,64,4096,1024,62.771,0.219302
1,8,128,4096,1024,87.616,0.314235
1,8,256,4096,1024,116.194,0.473894
1,8,512,4096,1024,186.589,0.590213
1,8,1024,4096,1024,357.15,0.616701
1,8,2048,4096,1024,532.229,0.82767
1,8,4096,4096,1024,1101.292,0.799987
1,8,1,4096,2048,107.884,0.003987
1,8,2,4096,2048,117.31,0.007334
1,8,4,4096,2048,117.088,0.014696
1,8,8,4096,2048,114.928,0.029945
1,8,16,4096,2048,116.08,0.059295
1,8,32,4096,2048,118.012,0.116649
1,8,64,4096,2048,126.332,0.217932
1,8,128,4096,2048,145.19,0.379253
1,8,256,4096,2048,191.447,0.575235
1,8,512,4096,2048,362.037,0.608377
1,8,1024,4096,2048,699.778,0.629498
1,8,2048,4096,2048,1085.695,0.81148
1,8,4096,4096,2048,2273.806,0.774929
1,8,1,4096,4096,217.889,0.003949
1,8,2,4096,4096,199.341,0.008632
1,8,4,4096,4096,200.333,0.017179
1,8,8,4096,4096,198.917,0.034602
1,8,16,4096,4096,200.817,0.068549
1,8,32,4096,4096,202.779,0.135772
1,8,64,4096,4096,210.395,0.261716
1,8,128,4096,4096,255.051,0.431786
1,8,256,4096,4096,355.032,0.620379
1,8,512,4096,4096,700.969,0.62843
1,8,1024,4096,4096,1421.366,0.61984
1,8,2048,4096,4096,2228.301,0.790754
1,8,4096,4096,4096,4504.534,0.78234
1,16,1,128,128,14.665,0.000115
1,16,2,128,128,14.473,0.000232
1,16,4,128,128,14.651,0.000459
1,16,8,128,128,14.562,0.000923
1,16,16,128,128,14.531,0.00185
1,16,32,128,128,15.452,0.00348
1,16,64,128,128,14.636,0.007348
1,16,128,128,128,15.444,0.013927
1,16,256,128,128,14.185,0.030328
1,16,512,128,128,14.874,0.057845
1,16,1024,128,128,15.675,0.109777
1,16,2048,128,128,24.691,0.139383
1,16,4096,128,128,38.711,0.177804
1,16,1,128,256,14.499,0.000232
1,16,2,128,256,15.403,0.000436
1,16,4,128,256,14.365,0.000936
1,16,8,128,256,14.368,0.001871
1,16,16,128,256,14.408,0.003732
1,16,32,128,256,14.295,0.007524
1,16,64,128,256,14.442,0.014893
1,16,128,128,256,14.5,0.029668
1,16,256,128,256,14.496,0.059354
1,16,512,128,256,15.331,0.112241
1,16,1024,128,256,17.858,0.192712
1,16,2048,128,256,26.327,0.26144
1,16,4096,128,256,52.207,0.263679
1,16,1,128,512,14.924,0.00045
1,16,2,128,512,14.853,0.000905
1,16,4,128,512,14.492,0.001855
1,16,8,128,512,14.394,0.003736
1,16,16,128,512,14.476,0.007429
1,16,32,128,512,14.358,0.014981
1,16,64,128,512,14.565,0.029536
1,16,128,128,512,15.71,0.054765
1,16,256,128,512,15.901,0.108219
1,16,512,128,512,17.801,0.193327
1,16,1024,128,512,26.07,0.264023
1,16,2048,128,512,44.827,0.307092
1,16,4096,128,512,86.907,0.316798
1,16,1,128,1024,14.606,0.00092
1,16,2,128,1024,14.496,0.001855
1,16,4,128,1024,14.429,0.003727
1,16,8,128,1024,14.624,0.007354
1,16,16,128,1024,14.5,0.014834
1,16,32,128,1024,14.534,0.029599
1,16,64,128,1024,29.643,0.029024
1,16,128,128,1024,20.649,0.083332
1,16,256,128,1024,22.307,0.154281
1,16,512,128,1024,31.867,0.215989
1,16,1024,128,1024,52.674,0.261344
1,16,2048,128,1024,107.118,0.257023
1,16,4096,128,1024,199.778,0.275625
1,16,1,128,2048,15.541,0.00173
1,16,2,128,2048,15.371,0.003498
1,16,4,128,2048,15.574,0.006905
1,16,8,128,2048,15.41,0.013958
1,16,16,128,2048,15.215,0.028273
1,16,32,128,2048,15.43,0.055759
1,16,64,128,2048,20.445,0.084163
1,16,128,128,2048,34.172,0.100711
1,16,256,128,2048,32.216,0.213654
1,16,512,128,2048,54.269,0.253659
1,16,1024,128,2048,107.138,0.256974
1,16,2048,128,2048,186.37,0.295453
1,16,4096,128,2048,357.881,0.307721
1,16,1,128,4096,17.579,0.003059
1,16,2,128,4096,17.425,0.006172
1,16,4,128,4096,17.253,0.012467
1,16,8,128,4096,17.435,0.024674
1,16,16,128,4096,18.055,0.047652
1,16,32,128,4096,19.291,0.089199
1,16,64,128,4096,34.762,0.099002
1,16,128,128,4096,64.731,0.106331
1,16,256,128,4096,57.988,0.237391
1,16,512,128,4096,105.336,0.261372
1,16,1024,128,4096,192.665,0.2858
1,16,2048,128,4096,374.949,0.293713
1,16,4096,128,4096,691.776,0.31839
1,16,1,256,128,19.558,0.000172
1,16,2,256,128,17.52,0.000384
1,16,4,256,128,18.04,0.000745
1,16,8,256,128,17.264,0.001557
1,16,16,256,128,16.893,0.003183
1,16,32,256,128,17.18,0.00626
1,16,64,256,128,17.062,0.012606
1,16,128,256,128,16.402,0.026228
1,16,256,256,128,15.271,0.056339
1,16,512,256,128,16.529,0.104106
1,16,1024,256,128,16.431,0.209449
1,16,2048,256,128,29.492,0.233384
1,16,4096,256,128,60.263,0.22843
1,16,1,256,256,15.266,0.00044
1,16,2,256,256,15.942,0.000843
1,16,4,256,256,15.836,0.001698
1,16,8,256,256,16.001,0.003361
1,16,16,256,256,15.356,0.007003
1,16,32,256,256,15.073,0.01427
1,16,64,256,256,15.171,0.028355
1,16,128,256,256,15.313,0.056185
1,16,256,256,256,14.572,0.118088
1,16,512,256,256,15.857,0.21703
1,16,1024,256,256,20.495,0.335834
1,16,2048,256,256,34.495,0.399074
1,16,4096,256,256,67.783,0.406174
1,16,1,256,512,14.772,0.00091
1,16,2,256,512,15.173,0.001772
1,16,4,256,512,15.41,0.003489
1,16,8,256,512,15.3,0.007029
1,16,16,256,512,15.247,0.014107
1,16,32,256,512,15.252,0.028205
1,16,64,256,512,15.685,0.054852
1,16,128,256,512,18.392,0.09356
1,16,256,256,512,15.993,0.215182
1,16,512,256,512,20.25,0.339904
1,16,1024,256,512,30.384,0.453061
1,16,2048,256,512,57.709,0.477082
1,16,4096,256,512,100.697,0.546824
1,16,1,256,1024,14.631,0.001838
1,16,2,256,1024,14.711,0.003655
1,16,4,256,1024,14.7,0.007316
1,16,8,256,1024,14.719,0.014614
1,16,16,256,1024,14.798,0.02907
1,16,32,256,1024,14.615,0.05887
1,16,64,256,1024,15.007,0.114661
1,16,128,256,1024,15.288,0.225111
1,16,256,256,1024,27.872,0.246945
1,16,512,256,1024,42.651,0.322759
1,16,1024,256,1024,74.146,0.371321
1,16,2048,256,1024,140.596,0.391644
1,16,4096,256,1024,261.166,0.421676
1,16,1,256,2048,15.342,0.003505
1,16,2,256,2048,15.0,0.00717
1,16,4,256,2048,14.967,0.014371
